,valuation coefficient
0,11.932257189997584
1,9.502015632062399
2,16.761872157889805
3,24.507187026681247
4,192.44776793581605
5,26.67497522950293
6,22.64442280048618
7,20.090065234489288
8,27.40509825020034
9,17.614815237826917
10,21.64901928294975
11,181.25622326480666
12,29.279380591036972
13,18.07719294874046
14,27.616435350308784
15,23.320582093219762
16,8.091042063445055
17,9.866910293317627
18,25.963284955588406
19,27.517991553510146
20,28.70917445668378
21,26.945653413542786
22,192.9177426440321
23,18.813593192728128
24,27.163592143971407
25,23.295817037885193
26,19.736921339538952
27,24.5738527592111
28,14.079569064948565
29,28.02807389938363
30,9.303364961183895
31,27.285647687276118
32,27.848543157739904
33,13.101044813925224
34,29.098949844251965
35,27.918424013388403
36,19.099445949276667
37,25.744750830366026
38,194.92920670696498
39,15.657102113340068
