task_Number,endpoints_location,bandwidth_demand
0,"[9, 7]","[0.38756956884156446, 0.658597856928689]"
1,[10],[0.09581952023883888]
2,"[9, 6, 8, 7]","[1.0528397693444165, 1.2098833057153993, 3.55803856617952, 1.8234040888862788]"
3,[9],[2.918134827606856]
4,"[11, 6, 7, 9]","[0.7825205489411172, 0.8992203901577045, 0.09358527073606582, 1.4888876187019149]"
5,"[9, 6]","[0.8313664920120559, 1.4497833029286649]"
6,[7],[0.5145223223930931]
7,"[9, 11, 10, 7]","[1.7586963567524563, 3.0939213584136165, 1.073674361658711, 0.9983459492275459]"
8,"[6, 7, 9, 8]","[1.35990733858308, 0.0784249820852122, 2.2293252794886884, 1.670269146322954]"
9,"[7, 10, 11, 9]","[1.4406362610088983, 2.6721459194127286, 4.043242925368766, 2.492049297286706]"
10,"[11, 10, 9]","[2.3133027793063135, 1.1584480316109769, 1.345806021382081]"
11,"[9, 7, 10, 11]","[1.3007447000613723, 2.0614629326605365, 2.384140998391999, 1.592749081831868]"
12,"[6, 10]","[0.6922286529027408, 1.4210025993507478]"
13,"[6, 10]","[1.193322846316959, 2.0534193603459157]"
14,[10],[1.7806260310032558]
15,"[6, 11, 7]","[1.1112465121225266, 1.2917053012028639, 1.6362251046783167]"
16,[8],[2.105338324702228]
17,"[8, 9, 11, 7]","[0.4147452675215251, 0.8424547663612705, 0.5974599833666641, 3.249806845811371]"
18,[8],[0.945956849800558]
19,"[9, 10, 8, 6]","[1.22361075169094, 0.6725162340663307, 0.6111394283093685, 0.9337843784259434]"
20,[11],[2.395714110040042]
21,"[7, 8, 6]","[1.3165671768542262, 2.2755137924350697, 1.8839243142766398]"
22,"[8, 11]","[0.485458215120087, 1.1187179718874183]"
23,"[10, 6, 9]","[2.6429360580503287, 1.7968265060763131, 1.618652053764412]"
24,"[8, 6]","[2.0186108945125905, 1.2204453104991497]"
25,"[8, 9, 6, 11]","[1.3792178434155389, 0.756729023715067, 0.02065565611584319, 1.561794169385463]"
26,"[9, 7, 6]","[0.8588599575113955, 2.225329490925552, 0.2736936678712658]"
27,"[9, 10, 11]","[2.4623198309039216, 0.8438454535121743, 1.4091786844994003]"
28,"[11, 10, 8]","[0.2806989368105587, 1.470584196843686, 0.49663806010698264]"
29,"[10, 11, 9]","[1.0818705399718804, 0.0966405609721005, 2.888487374298064]"
30,"[6, 11, 8]","[2.0275736473808568, 3.055164601051481, 1.3712292706919382]"
31,"[7, 10, 9, 11]","[0.4950038805943333, 1.0754582008673648, 0.08739938201510422, 2.369041777168829]"
32,"[6, 9, 8]","[0.09454783902063879, 2.189078609894377, 1.8633581573557043]"
33,"[8, 6, 7]","[0.84605018345581, 1.080590822022323, 1.5147978998325717]"
34,"[8, 10, 9, 6]","[0.5894524835237618, 1.0908953259327263, 1.6078087190817907, 1.3141933833002826]"
35,"[11, 9, 6, 8]","[2.5372376567853117, 3.1514519241357033, 1.1074000404173148, 1.7944756318428072]"
36,"[10, 11, 8, 7]","[2.587733620384733, 1.1541018706692374, 2.3598240919562805, 2.403286514559436]"
37,"[8, 6, 11, 9]","[2.172496665143343, 2.297285286064293, 1.194427281873973, 0.0773334261445715]"
38,"[9, 10, 8]","[1.728909340971963, 2.159330266667963, 1.0596349986017406]"
39,"[7, 10]","[1.288016781333813, 2.2108857009073763]"
