task_Number,endpoints_location,bandwidth_demand
0,"[11, 9, 8]","[0.9779136304996354, 1.6250962837648455, 2.0942792861928767]"
1,"[9, 7, 8]","[2.2484202711709953, 0.6755511363755948, 1.8140756745902107]"
2,"[11, 10, 7]","[1.7749865399981184, 1.2356007845700214, 0.08512310239467757]"
3,"[7, 11]","[1.448905567025101, 2.2156927137616576]"
4,"[9, 10, 6, 8]","[0.277152616850472, 2.6466075853319966, 2.097589956575467, 1.5083276657174627]"
5,"[8, 7, 11]","[1.385404528078898, 0.2404080804930151, 1.0374906856547708]"
6,"[11, 8, 6]","[0.32217091466050773, 0.41537661509620205, 1.4348069783573691]"
7,"[8, 9]","[2.6138080993828527, 1.3328902042341948]"
8,"[11, 9, 7]","[1.8196274288190355, 2.178197305149874, 2.435564195203531]"
9,"[6, 10]","[1.0574047385661531, 0.6937008302147534]"
10,[7],[0.09747982023014867]
11,"[10, 7]","[0.6818106894712368, 1.0442090523214143]"
12,"[11, 9]","[2.317635487886553, 1.8063480518426385]"
13,[9],[0.5759438228684097]
14,[11],[2.681095820509599]
15,"[6, 7, 10]","[1.7932701746701167, 1.4566279449405082, 0.9681223280343867]"
16,[9],[0.763821229468503]
17,[7],[1.345406601169029]
18,"[8, 10]","[1.922330473283239, 0.28177213069591056]"
19,[8],[1.0308709490534325]
20,"[11, 8, 7, 10]","[1.6076185100325366, 2.0680590799874956, 0.3467673290830332, 1.1660714197356024]"
21,"[6, 8, 7, 9]","[1.1846599535625022, 1.2910908745919474, 1.1988769186687867, 0.4611567332751527]"
22,"[9, 11, 10]","[1.457381694746127, 1.1691838406606379, 2.8017403032155315]"
23,[10],[0.7817978914290314]
24,"[6, 7]","[0.4141125654841973, 2.394443723551263]"
25,[9],[1.3636434139520548]
26,"[10, 9, 11, 6]","[0.01904488406035698, 0.9706881433431134, 2.1544257152156874, 1.3601983392544459]"
27,"[8, 10]","[0.8455914371223889, 0.9101691930599626]"
28,"[8, 9]","[2.31326512817549, 2.0345648284456175]"
29,[10],[1.7257240022385962]
30,"[11, 10, 7, 9]","[0.020325911175456013, 2.1734147419104675, 0.1488434528708501, 0.5149790798736973]"
31,"[6, 10, 11]","[0.4433973517070642, 1.0843829987758709, 0.7657380417566313]"
32,[6],[0.2671787313944406]
33,"[6, 8]","[0.34142350411779043, 0.1786844675715049]"
34,"[6, 9, 11]","[0.4671811485300562, 1.4915232024433462, 1.5255754086655757]"
35,"[9, 11, 7]","[1.5844855293400908, 1.3080610454343606, 1.6064055888289799]"
36,"[9, 8]","[0.03011897926672058, 1.386442485578111]"
37,"[11, 6, 9]","[0.11521762098532484, 0.9700073725621031, 1.6183900754711584]"
38,[9],[1.9982188063240613]
39,"[10, 7, 6]","[2.2439309726437324, 0.8675310338839661, 0.5138955234377575]"
