,valuation coefficient
0,8.650147185081313
1,19.492787247683303
2,26.715690392971627
3,21.055877248453267
4,24.768504675387828
5,11.410068724862366
6,193.45442179408826
7,25.54782681472113
8,29.962618603305234
9,9.221770018427947
10,27.664332225108144
11,24.391368613093814
12,20.863494865935316
13,15.27918430413515
14,13.92063079565612
15,16.661150430935596
16,183.23596044582484
17,17.303134737531806
18,28.230525790190978
19,192.6153605144795
20,11.896751523426847
21,21.237974879413724
22,26.73456003623306
23,29.34680836173888
24,19.322756257437504
25,16.621473669187672
26,12.800096034594178
27,13.883824832229111
28,15.4365992686397
29,181.11382978395426
30,22.060484294306193
31,23.528421743465238
32,22.680830646644736
33,10.002266321273773
34,10.784122479471197
35,9.613541412067072
36,21.710496827971507
37,18.812065820397933
38,10.462602085927028
39,18.44598029255337
