data_link, bandwidth_capacity
"(1, 2)",5.313021250036629
"(3, 2)",5.313021250036629
"(8, 2)",5.313021250036629
"(4, 10)",5.313021250036629
"(7, 1)",5.313021250036629
"(3, 0)",5.313021250036629
"(2, 8)",5.313021250036629
"(9, 3)",5.313021250036629
"(6, 0)",5.313021250036629
"(2, 1)",5.313021250036629
"(3, 9)",5.313021250036629
"(0, 5)",5.313021250036629
"(1, 4)",5.313021250036629
"(5, 4)",5.313021250036629
"(3, 4)",5.313021250036629
"(2, 5)",5.313021250036629
"(1, 0)",5.313021250036629
"(10, 4)",5.313021250036629
"(0, 1)",5.313021250036629
"(0, 3)",5.313021250036629
"(11, 5)",5.313021250036629
"(4, 1)",5.313021250036629
"(4, 3)",5.313021250036629
"(5, 11)",5.313021250036629
"(0, 6)",5.313021250036629
"(5, 0)",5.313021250036629
"(1, 7)",5.313021250036629
"(4, 5)",5.313021250036629
"(2, 3)",5.313021250036629
"(5, 2)",5.313021250036629
