task_Number,endpoints_location,bandwidth_demand
0,[9],[2.169567852339841]
1,"[9, 10]","[0.08713269846666627, 1.0079961666707855]"
2,"[7, 11]","[0.5749065415347855, 1.1472919931585581]"
3,"[11, 9]","[2.031023303494833, 1.7233189516756693]"
4,"[10, 7]","[0.6467373879927449, 1.46882374798536]"
5,[7],[0.8030796558325567]
6,"[11, 9]","[2.339648525772266, 0.7680312689441398]"
7,[9],[0.8103582149886255]
8,[9],[2.174694853162663]
9,"[11, 8, 9, 6]","[1.3887268921636915, 1.761401319966196, 0.8410864487448342, 0.9508993600490381]"
10,"[11, 8, 9]","[1.78482210294559, 0.6577445157604451, 0.301879276100652]"
11,"[6, 8, 7]","[2.320286629448276, 0.8377868110957094, 1.630403031630067]"
12,"[10, 9, 11, 6]","[1.2757024559379793, 0.0676678037542845, 2.6528519972604814, 1.5278209795667768]"
13,"[9, 10, 6]","[2.2503243498265793, 0.6358330408682905, 2.103467271489569]"
14,"[8, 6]","[0.21562259069754008, 0.819808833404498]"
15,"[8, 9, 7, 10]","[3.569181024073619, 1.4730128117309884, 0.48939764797594176, 1.4685500698687022]"
16,"[7, 10, 6]","[3.274076173149633, 1.716604283572873, 0.9034762005344035]"
17,"[11, 6, 9]","[0.7863380032480098, 1.1965203700454787, 3.105104030605982]"
18,"[11, 10, 8, 9]","[0.6352549397403826, 1.458750044811704, 0.9132143310743988, 2.705507872596063]"
19,[9],[0.21905434369847532]
20,"[9, 11, 6]","[1.0704457371348293, 1.0616281013639604, 1.5485560591192664]"
21,"[11, 10, 7]","[2.3818034521117863, 1.710708228749617, 0.9172587484097886]"
22,"[6, 7, 9, 8]","[0.5293658359015712, 2.5624651163691077, 1.1490449545875405, 0.7466739470981953]"
23,"[9, 10, 6]","[0.0981634427450716, 2.1341654032271444, 0.6847891336968732]"
24,"[8, 7, 9]","[0.7277266371771787, 1.238359889677791, 2.3741482695708687]"
25,[11],[1.188742344626912]
26,[7],[0.26646204755440117]
27,"[7, 10]","[0.5134754840217535, 0.9535748169350412]"
28,"[10, 9]","[1.2546081183605629, 0.9337921500971352]"
29,"[10, 11, 9, 6]","[1.6300231700922039, 0.9465054909416672, 2.161344785596416, 0.6575380899757165]"
30,"[10, 11, 7, 6]","[2.721542894356853, 2.1703692108732606, 1.005677441321656, 0.43785479684875384]"
31,[7],[1.3551612756109641]
32,"[10, 11]","[2.17977028902944, 1.7671547433114485]"
33,"[11, 8, 10]","[0.4835054329259102, 0.37709308431802424, 0.7406294436479466]"
34,"[6, 9, 11, 7]","[1.6108662028847607, 1.6260683832144494, 1.5162403305008842, 1.1288156816347326]"
35,[11],[2.6759588958148113]
36,"[6, 10]","[0.1737368333845828, 1.0375324935287285]"
37,"[6, 9]","[0.6380174524078297, 0.16384582070472908]"
38,"[8, 7]","[0.09178755799694116, 0.4143334962042312]"
39,[11],[0.12421725963905295]
