task_Number,endpoints_location,bandwidth_demand
0,"[7, 6, 11]","[2.1255793120784707, 0.8925471155678821, 0.2151724390258759]"
1,"[6, 10]","[0.763759425348362, 2.261587522682656]"
2,[7],[2.3456619775938368]
3,[11],[1.9193969742162844]
4,"[7, 11, 6, 8]","[0.8330777026440447, 0.6187921722481854, 1.4019050473542756, 0.5715143994230101]"
5,"[6, 7, 10, 8]","[1.6692442677687862, 0.11977306184562742, 0.5041487021930026, 2.2673928739209783]"
6,[11],[0.8675101457947773]
7,"[9, 10]","[0.7726425141031652, 1.9658064656342316]"
8,"[9, 7]","[0.3014394955655961, 1.421391398833617]"
9,"[10, 6, 11]","[1.892614675077391, 0.14280569625774753, 1.4466892625475498]"
10,"[6, 9]","[3.875101506490587, 0.3506579417597303]"
11,"[8, 7]","[1.3476253181475202, 2.981183582490214]"
12,[7],[0.870885852587466]
13,"[8, 9]","[1.0687092396608904, 0.009697039772236793]"
14,[8],[1.933895280020544]
15,[10],[2.4126725778603584]
16,"[7, 11, 10]","[1.516879059831806, 2.06627297093695, 1.2969465774965316]"
17,"[9, 10, 6, 11]","[0.9329646381434612, 0.055407969375485644, 1.7259442803930463, 0.99142660270224]"
18,"[7, 8, 11]","[0.8628039844032542, 0.9615878939778112, 1.656296022057773]"
19,[7],[0.526139671938747]
20,"[7, 9, 6]","[2.742511835140571, 0.37991894406589666, 1.5265984708760043]"
21,"[6, 10, 9]","[0.24761393157359268, 1.2420280929208072, 0.9875235904307023]"
22,[11],[0.3430759723912655]
23,"[7, 11, 9]","[2.1511861126974416, 0.8340330999876182, 1.6005935143361556]"
24,"[11, 8, 7, 9]","[0.6561671963602822, 2.2555508345115673, 3.0506446012612365, 0.6303474943736656]"
25,"[11, 7, 9]","[1.0612589478067842, 1.3671702735411793, 0.8715124638584586]"
26,"[6, 8]","[1.2034395505103817, 2.823722158607075]"
27,"[8, 11]","[0.9559865615254823, 1.7157558404403919]"
28,"[8, 10, 9, 7]","[0.7794591218285322, 1.509072075780968, 0.8564572803474786, 1.5819963024143249]"
29,"[11, 8, 7, 10]","[0.643258279039993, 2.2638269587284117, 0.7632317485924225, 0.8439386876652025]"
30,[6],[1.0878417869199668]
31,"[8, 7, 11, 6]","[0.14564858019919402, 1.714094560052295, 1.4375952286199112, 1.1165160583704292]"
32,"[7, 11, 6]","[3.295080559214318, 0.4514057752588536, 1.4463897102375027]"
33,"[10, 8, 6, 11]","[2.1759618095271542, 0.26593335096643067, 1.8071349825611502, 2.084222985529239]"
34,"[9, 8, 10]","[1.2862765710805797, 0.11141980079738012, 0.5890227614072312]"
35,"[11, 7]","[1.792155224584732, 0.5117429717039037]"
36,[6],[0.1682733417411657]
37,"[9, 7, 8]","[0.380442103842798, 0.6984925215044654, 0.0659731245654892]"
38,"[9, 11, 6]","[0.1072769755422397, 1.6386702459700142, 1.0090166374792275]"
39,"[10, 6]","[1.2663417007535975, 2.4106726047023534]"
