task_Number,endpoints_location,bandwidth_demand
0,"[8, 11, 10]","[1.5183592924487765, 0.10203118027017866, 2.048306490196344]"
1,[11],[0.7458996439019168]
2,"[6, 8]","[1.9101940994786697, 1.089831487764325]"
3,"[6, 8, 9]","[1.9979167430612281, 2.614310303730054, 1.9435452564523705]"
4,"[6, 9, 11, 8]","[2.4975558285506443, 0.782574509228879, 0.584498219926179, 0.3279812171339326]"
5,"[7, 8, 11]","[1.3401719531130112, 1.3806361883934446, 0.3087469660084433]"
6,[11],[1.6630766336664304]
7,[10],[1.0420306481686807]
8,[6],[1.27676708905691]
9,"[8, 6]","[0.5766363080945984, 2.6970412795057053]"
10,"[11, 8]","[1.4692435931014467, 1.3620881653953347]"
11,[9],[0.6295957250867534]
12,"[10, 9, 8, 11]","[1.0375354268155115, 1.1701518506831614, 1.7187513005217645, 1.0833063748816627]"
13,[11],[1.1775374170514556]
14,"[11, 9, 7]","[1.4416011218815403, 0.15366366031404244, 1.5284660952518836]"
15,"[11, 8, 7, 10]","[1.7530736771202031, 0.71145995546934, 2.2203958840360345, 0.919516715504671]"
16,"[11, 9]","[0.08548349898279106, 1.1825507465588212]"
17,"[10, 11, 8, 6]","[1.0485587512625687, 2.1849132421950404, 1.883236525020656, 1.708714740713295]"
18,"[8, 6]","[2.8912885548060077, 1.2563510557226092]"
19,[8],[0.8777559777487727]
20,"[8, 6, 11]","[1.4251592468446748, 2.4048735526061327, 1.3743540586770173]"
21,"[9, 10]","[1.272482747311615, 0.6363832066692016]"
22,[6],[0.9808379612537608]
23,"[6, 10, 11, 8]","[1.113754911977215, 0.09982386748974037, 0.62822591546561, 1.5155068676830425]"
24,"[6, 8]","[0.8541024162196477, 1.525836362871979]"
25,"[9, 7]","[1.5943882239047, 2.85247885815277]"
26,"[11, 9]","[2.198868160448577, 1.407655808844041]"
27,"[8, 6, 11, 10]","[1.8109637832247683, 2.9791672413655648, 2.431695066874026, 0.8657255500405444]"
28,[9],[1.5257191211400682]
29,"[8, 11, 9]","[1.4228216506484026, 1.8393073040494035, 0.3292683633100142]"
30,"[7, 10, 11]","[1.2873519395279254, 0.45658273381276104, 2.305006964120434]"
31,"[8, 7, 11, 6]","[1.0250606330106982, 0.19286947113986908, 1.104569764306738, 1.1216025150130584]"
32,"[6, 11]","[1.7923483762045807, 1.6756115762749397]"
33,[8],[2.059503519902925]
34,[8],[1.6815382673143418]
35,"[11, 8, 7, 6]","[2.181654503383543, 1.5727859820862253, 1.134663663772832, 1.8760581668969392]"
36,[10],[0.5735184691023831]
37,[9],[1.3927691963903093]
38,"[8, 7, 9, 11]","[1.1018202784358488, 1.6438459502444458, 1.3688484059577364, 1.2608328416894568]"
39,"[7, 10, 8, 6]","[1.3014829045315635, 1.6166623796270363, 0.44819390046838514, 0.949024740945505]"
