task_Number,endpoints_location,bandwidth_demand
0,"[11, 6, 9]","[2.5286110248285154, 1.526075965922585, 2.6888035970039232]"
1,"[9, 8]","[2.8476965038129505, 1.6746137116485673]"
2,"[11, 6, 9]","[2.078490185447496, 1.6614483882789892, 1.4577090468116793]"
3,"[6, 7]","[1.413296539105413, 0.9309445942938641]"
4,"[7, 10, 6]","[0.38279648310687875, 2.620992026789837, 1.2515063137415434]"
5,"[6, 7, 11, 8]","[0.9377222738472003, 0.8513619744510451, 1.6924088357596592, 0.01977472000330749]"
6,"[7, 10, 8, 6]","[0.8643639640733902, 0.3374987702898159, 1.3114410405194104, 0.9213524910615398]"
7,[11],[0.7085732949200417]
8,[9],[2.8678505174606235]
9,"[11, 10, 9]","[0.26392360728476727, 1.3592190206467427, 0.9712787388881454]"
10,"[7, 10, 11, 6]","[2.60652623743921, 1.56884657360221, 0.08085746252755366, 1.5013695172612245]"
11,[8],[1.7595921579744431]
12,"[7, 10, 11]","[1.1077365064036293, 1.4577088741315056, 1.8569478727266207]"
13,[11],[1.746850033059889]
14,"[10, 11, 9]","[2.467609309753442, 2.461969354001024, 0.7069136216535573]"
15,"[8, 11, 7]","[0.6157641125698671, 0.04036497737677591, 0.7592171833389063]"
16,[10],[2.385164173825446]
17,[9],[0.8686029890468118]
18,[10],[0.5910660519608737]
19,"[7, 10]","[2.5257208705705767, 0.19733212070649953]"
20,"[8, 6]","[0.7863010747681475, 1.31171310735782]"
21,"[9, 7, 10]","[0.7893547665822737, 0.13804736045641208, 2.1314746356249206]"
22,"[9, 10, 8, 6]","[0.7909126125464193, 3.183139986733164, 1.4060702867799764, 0.12864574053420774]"
23,[9],[1.4023685018422283]
24,"[8, 6]","[0.8799921018407663, 1.1672342823122706]"
25,"[11, 6, 8]","[0.4989131694299159, 2.320956578168601, 2.0791744319088217]"
26,[9],[1.5112548964121804]
27,"[11, 6, 10, 8]","[1.2109279978276186, 1.017088123261185, 0.8457991667708221, 0.5399414290946549]"
28,"[9, 8, 6]","[2.801902729426894, 0.5500868506514345, 1.4118566888805553]"
29,"[10, 9, 11, 7]","[0.5442558035141214, 1.661330117452576, 1.7801817257601633, 1.1298042817303986]"
30,"[11, 9]","[0.5903165178605455, 0.14043479697571226]"
31,[8],[1.563353449948368]
32,[11],[0.45197220308108477]
33,"[6, 7]","[1.9953098154777895, 0.7539472207099777]"
34,"[9, 6, 8]","[0.6975657058683009, 1.2477250456720848, 1.860152611896771]"
35,"[11, 8]","[1.1254783492114486, 2.575611521075762]"
36,[6],[0.4511945378131844]
37,"[10, 7, 11, 8]","[1.1712133696796077, 1.9344072125586615, 1.1275435446255118, 3.36188082751461]"
38,"[7, 11, 9, 6]","[1.2961178840536423, 1.0966277954610335, 1.5562489685623517, 1.921402594397125]"
39,[10],[2.087687437408328]
