,arrive_time,finish_time,start_time,usage_time
0,0.1749027093115263,10,2,2
1,0.3711031498483863,11,1,2
2,0.3742705562434445,11,2,3
3,0.8198783075111105,10,1,3
4,1.123120253927098,11,3,3
5,1.3210203994591607,7,2,1
6,1.4189715484829712,10,2,2
7,1.4617642058355407,11,3,1
8,1.5206782544023678,11,3,2
9,1.8712777283052473,11,2,1
10,2.134399510803413,11,4,2
11,2.6311903992324415,9,4,1
12,2.848611674739183,10,3,2
13,2.989763774589579,8,3,1
14,3.2447059747822884,11,5,2
15,3.346853176856943,10,4,1
16,3.367138574290812,11,4,1
17,3.5717199482998954,11,5,2
18,3.8057243869694113,11,4,1
19,4.016406919272847,11,5,2
20,4.088352132767106,11,6,3
21,4.449590767121849,11,6,1
22,4.475126322138742,11,6,2
23,4.544278208282898,11,6,2
24,4.601012281962715,11,5,1
25,5.452292637147477,11,7,1
26,5.482299063500942,11,7,3
27,5.749835871510092,11,7,2
28,5.88787915812131,11,6,1
29,5.927444089753724,11,7,3
30,6.136303874864168,11,8,3
31,6.550663483734725,11,8,2
32,6.793248321388418,11,7,3
33,7.319802251869119,11,9,2
34,7.7187705014860954,11,9,3
35,7.719692297981489,11,9,1
36,7.887842182981357,11,8,3
37,7.920342606554294,11,8,3
38,8.647103866902583,11,9,2
39,8.915732671802584,11,9,1
