data_link, bandwidth_capacity
"(1, 2)",8.404867042184922
"(3, 2)",8.404867042184922
"(8, 2)",8.404867042184922
"(4, 10)",8.404867042184922
"(7, 1)",8.404867042184922
"(3, 0)",8.404867042184922
"(2, 8)",8.404867042184922
"(9, 3)",8.404867042184922
"(6, 0)",8.404867042184922
"(2, 1)",8.404867042184922
"(3, 9)",8.404867042184922
"(0, 5)",8.404867042184922
"(1, 4)",8.404867042184922
"(5, 4)",8.404867042184922
"(3, 4)",8.404867042184922
"(2, 5)",8.404867042184922
"(1, 0)",8.404867042184922
"(10, 4)",8.404867042184922
"(0, 1)",8.404867042184922
"(0, 3)",8.404867042184922
"(11, 5)",8.404867042184922
"(4, 1)",8.404867042184922
"(4, 3)",8.404867042184922
"(5, 11)",8.404867042184922
"(0, 6)",8.404867042184922
"(5, 0)",8.404867042184922
"(1, 7)",8.404867042184922
"(4, 5)",8.404867042184922
"(2, 3)",8.404867042184922
"(5, 2)",8.404867042184922
