data_link, bandwidth_capacity
"(1, 2)",6.431595343583489
"(3, 2)",6.431595343583489
"(8, 2)",6.431595343583489
"(4, 10)",6.431595343583489
"(7, 1)",6.431595343583489
"(3, 0)",6.431595343583489
"(2, 8)",6.431595343583489
"(9, 3)",6.431595343583489
"(6, 0)",6.431595343583489
"(2, 1)",6.431595343583489
"(3, 9)",6.431595343583489
"(0, 5)",6.431595343583489
"(1, 4)",6.431595343583489
"(5, 4)",6.431595343583489
"(3, 4)",6.431595343583489
"(2, 5)",6.431595343583489
"(1, 0)",6.431595343583489
"(10, 4)",6.431595343583489
"(0, 1)",6.431595343583489
"(0, 3)",6.431595343583489
"(11, 5)",6.431595343583489
"(4, 1)",6.431595343583489
"(4, 3)",6.431595343583489
"(5, 11)",6.431595343583489
"(0, 6)",6.431595343583489
"(5, 0)",6.431595343583489
"(1, 7)",6.431595343583489
"(4, 5)",6.431595343583489
"(2, 3)",6.431595343583489
"(5, 2)",6.431595343583489
