task_Number,endpoints_location,bandwidth_demand
0,"[7, 8]","[0.5375891688065704, 3.758639061213866]"
1,[8],[0.28212885579220137]
2,"[10, 6, 7]","[0.4749698342613953, 1.2496658309975532, 0.42340434140041794]"
3,"[6, 9]","[1.6275471644759558, 2.238064638229708]"
4,"[10, 8]","[2.556649325547178, 1.2227753010653322]"
5,"[10, 9, 6, 8]","[0.14949046329878535, 0.7656961982741621, 0.4081923812547289, 1.3436767189592294]"
6,"[8, 10]","[1.5374897072958484, 1.0799632721371988]"
7,[7],[0.42553393152902963]
8,"[6, 7, 9, 10]","[1.2720511485406938, 1.8891913412412262, 1.1189883674913663, 1.8967053215605973]"
9,[7],[1.308756843478653]
10,[9],[0.018499082935172884]
11,"[10, 7, 11]","[0.9972214392766127, 0.8095067676324065, 1.6244926813986167]"
12,"[8, 6]","[1.2177722545585712, 0.17139184794432616]"
13,"[9, 10, 6, 8]","[0.2692190316353881, 0.8092665667434262, 1.2164423537491245, 2.2733399382189496]"
14,"[9, 10, 6, 7]","[1.7070897048512328, 1.0773861088584342, 2.148978661009497, 1.549332925683339]"
15,"[10, 6]","[0.9267776394751754, 2.8494997327117115]"
16,"[7, 10, 6, 11]","[1.2888941492748067, 0.6963804548095012, 0.8489603897810005, 0.8721978595986533]"
17,"[9, 8, 6, 10]","[0.6883991651193063, 0.24126848697248848, 1.647245789557429, 0.41064046189886105]"
18,[8],[1.205010376452417]
19,"[10, 6, 11]","[1.4637428547065743, 1.1614194099709447, 1.617017602349554]"
20,"[8, 6, 7, 11]","[0.13010758517427623, 0.0023498278994270594, 2.0854174321300922, 1.5639870855194573]"
21,[8],[1.1934538998780317]
22,"[10, 11, 7]","[2.10452523752126, 2.999401635078129, 0.7950379263266145]"
23,"[7, 8, 9, 6]","[1.7729860598205343, 0.29346939549314754, 0.33769188897259395, 1.3753340303421786]"
24,"[7, 11, 10]","[1.7408832613834333, 1.3322535494164058, 1.3564047148415792]"
25,"[8, 6]","[1.6949388379050454, 0.7958608936674441]"
26,"[10, 11]","[2.6184343799072303, 2.061799978559095]"
27,"[6, 10, 11]","[1.9655816292728194, 0.30219378544195563, 0.5155571536531842]"
28,"[9, 6, 11, 8]","[0.5791984371527119, 1.0406656184732976, 0.6008178568626792, 1.6058989770989298]"
29,"[6, 10, 11, 8]","[3.130368218587616, 1.468847051560572, 0.37865657475903447, 2.7229720399545845]"
30,"[6, 10]","[1.7236758661213005, 0.6930299334107899]"
31,"[8, 10]","[0.5023013261029208, 0.9370805640666122]"
32,[10],[1.4903993103580984]
33,"[7, 11, 10]","[0.4490806984955391, 3.519352113023416, 1.284407592692819]"
34,[10],[2.8614173200583632]
35,"[7, 6, 8]","[1.8888064173805872, 1.4173887183447058, 2.0570622292483725]"
36,"[8, 6, 10, 11]","[0.41682388083550936, 1.7668318883100929, 0.8729597315994786, 1.1253522956567272]"
37,"[7, 8, 9]","[1.121749149861574, 1.1396323046818195, 1.0636618532564828]"
38,[8],[1.0370436712877347]
39,"[6, 10]","[1.0598476999062152, 2.138792800329197]"
