task_Number,endpoints_location,bandwidth_demand
0,[8],[1.4091631257930466]
1,[7],[1.7984019883508373]
2,"[11, 10]","[1.33013654698219, 2.1510436973661875]"
3,"[11, 8, 6, 9]","[1.5512387855507423, 1.7281919463239008, 1.4394019122306654, 1.068381581244294]"
4,"[7, 9, 10, 11]","[1.5335148752985093, 1.0969742897366592, 0.3786710149851443, 0.9251065192649219]"
5,"[10, 8, 9, 6]","[0.38160269933591684, 0.7752012808065862, 3.215901450653069, 0.8457416371921115]"
6,"[10, 6, 7, 11]","[1.278242054001122, 0.5805108739532904, 2.208838841783706, 0.5293212264494536]"
7,"[7, 10]","[1.9033747045791516, 0.7422258445473567]"
8,"[10, 7, 8, 9]","[0.5861542627863576, 1.0818088952395926, 0.44826855980693503, 0.7266855542447579]"
9,[6],[2.2574619693589306]
10,"[11, 6]","[0.8041935221810594, 1.0447972043229963]"
11,[8],[1.789129410820692]
12,"[9, 6]","[0.6143546273522148, 2.080286231040022]"
13,"[10, 9]","[2.0942657342751243, 1.370135356264711]"
14,"[11, 10, 7, 8]","[0.7704460625007251, 0.5900776278103034, 2.288309540458923, 0.3747371232298716]"
15,[9],[0.7973619540124698]
16,"[10, 8]","[3.3645844537769483, 0.3627449412314496]"
17,"[6, 9, 8, 10]","[2.818876019038517, 1.087488884461748, 2.337951269419454, 2.1303927029088987]"
18,"[6, 8, 11, 7]","[2.5010489674430123, 0.8651359400961078, 1.445723737685114, 1.895157256732753]"
19,"[8, 10, 6]","[0.9176446262160651, 2.6717008665037314, 1.9304434832162691]"
20,"[9, 7]","[1.252378766894347, 0.9195848204856757]"
21,"[6, 10, 7, 11]","[1.3161917127548135, 0.9110903681065701, 1.1054370965763431, 1.5417541577149207]"
22,"[10, 8, 6, 7]","[2.317961633467476, 0.2367366516708027, 2.802558157215243, 0.9924134196052727]"
23,"[6, 8]","[1.060554275212737, 0.9510699849561453]"
24,"[7, 10, 11, 9]","[1.0623128599755756, 1.2066542453074707, 1.0160395161436493, 1.3924975174917726]"
25,"[11, 8]","[0.6039741371768637, 1.3563887583789669]"
26,"[8, 11, 7]","[0.9783599284822246, 0.030251829861436708, 1.5218317760062567]"
27,"[8, 6]","[0.5680864801156349, 3.5211158375487224]"
28,"[10, 11]","[0.6853109372706195, 0.7158131637448756]"
29,"[8, 11, 6]","[0.7074088926805953, 1.6696464749973312, 1.1308677687029942]"
30,"[6, 8]","[2.0527775725663733, 1.0202513456858766]"
31,"[6, 9, 8]","[1.0177561070416223, 0.6807337343998654, 1.280265826460611]"
32,"[9, 6, 7, 11]","[1.138501472192905, 0.8788929022110972, 1.478012368065319, 3.827759454511889]"
33,"[8, 6, 9, 10]","[1.2917382839437404, 1.297558401960225, 0.40598841093146076, 1.5903851110720781]"
34,"[10, 11, 7]","[1.767374637367574, 1.2690905290462842, 0.11234254742588623]"
35,"[9, 11, 10]","[3.6825919946470167, 1.7187696005062747, 0.4381516239412159]"
36,[7],[2.940517001901111]
37,"[7, 8, 11, 10]","[3.3302839956911523, 2.1212123122051985, 1.648296363525073, 2.7559600100211785]"
38,"[6, 7, 11]","[0.8948812316984195, 1.8732638238593393, 2.106241967133485]"
39,"[10, 8, 11]","[2.288919273879431, 1.199780250962492, 1.5416180830566462]"
