task_Number,endpoints_location,bandwidth_demand
0,[11],[1.2518749993718923]
1,"[9, 6, 8, 10]","[1.7526547569100557, 1.1645901849909863, 1.4536603637505658, 2.326390493493297]"
2,"[10, 8]","[1.9498053641111288, 0.14258523204535567]"
3,[7],[1.0789983294680658]
4,"[8, 10]","[1.4954563150073747, 1.9091010874683148]"
5,"[11, 6, 7]","[0.8836507792951217, 1.4507249471786676, 1.9376261154917782]"
6,[8],[0.035517619968734926]
7,[6],[2.612621657214767]
8,"[9, 6]","[1.464610497080471, 2.2134794098554957]"
9,"[8, 7]","[0.8885300809824118, 1.0600554463665888]"
10,[6],[2.04601796111319]
11,"[11, 9, 10]","[1.098413042699329, 1.1955887317465212, 0.9101917948104269]"
12,"[8, 9]","[1.0086696858753887, 2.2487319144842597]"
13,"[11, 9, 10, 6]","[0.8906537377239864, 0.6731343199113454, 0.14090131982264598, 0.2688320078593158]"
14,"[11, 6]","[2.5143802166334694, 0.8672553530935763]"
15,"[10, 11]","[2.0277318849924253, 1.1338496080447467]"
16,"[10, 11]","[1.5455590366332708, 1.1520849766143741]"
17,"[11, 7, 10, 8]","[2.0820436719607684, 0.21828808493106322, 0.8616089311087729, 2.714035309345986]"
18,"[8, 6, 7, 10]","[0.9404673478020312, 1.3721206893146063, 0.8427942809304274, 1.5709699485577886]"
19,"[6, 9]","[1.786292133443458, 0.7228489711504613]"
20,"[9, 6]","[2.501498780404755, 0.4621308954112868]"
21,"[8, 9, 10]","[0.41759047509651137, 0.48870066605385654, 1.206151844681663]"
22,"[6, 8]","[1.102348168942116, 1.5954029035378559]"
23,"[10, 7]","[1.2722863265428466, 0.24655252435480557]"
24,"[7, 8]","[1.087264150706395, 0.24433973440162293]"
25,"[6, 8, 9]","[1.8167863049884772, 1.1947123492614111, 1.3160359767528855]"
26,"[10, 11, 9, 6]","[3.8805522597474873, 3.1322848217808614, 0.810186500993136, 0.40728116547433424]"
27,"[11, 9, 8]","[0.24102363946047933, 0.5639656767975115, 2.186835822925983]"
28,"[9, 7, 10]","[0.8115200476659103, 2.1659857547666395, 0.1857089692403685]"
29,"[7, 11]","[0.5392254971477665, 1.1516197557882288]"
30,"[10, 8, 9, 11]","[0.968763152880699, 1.0447181194371966, 1.867721451742994, 0.08700350912607946]"
31,[10],[3.2049307436990704]
32,[11],[2.198646228656975]
33,[7],[0.12048803368644201]
34,[10],[2.527289234276826]
35,[7],[1.0600403585578229]
36,"[10, 8]","[0.1662361435601304, 0.3799322160118568]"
37,"[6, 8, 11, 9]","[1.0433780079081425, 1.44559448767135, 0.6033307549442286, 0.5419102586695925]"
38,[10],[0.6493727065379223]
39,[9],[0.744563874100066]
