task_Number,endpoints_location,bandwidth_demand
0,"[11, 9, 6]","[1.541445894768634, 0.2843926017451026, 1.9301607717694427]"
1,[11],[1.0772191530662596]
2,[7],[0.7429539367414613]
3,[11],[1.7830431156403375]
4,"[9, 7, 11, 10]","[1.9668727145167355, 1.1165570285353863, 1.4066823811961633, 1.0103419645888234]"
5,"[10, 6, 7]","[0.2642851663477813, 2.604501608210862, 2.8851403674163505]"
6,[11],[2.338523545686952]
7,"[7, 8, 9, 11]","[1.2261057372074229, 1.4785856353498539, 2.4759491947648664, 1.6539277400478758]"
8,[11],[2.5749944932649975]
9,[9],[1.2043416215031362]
10,"[11, 7, 10, 9]","[0.5116695256203401, 1.1001289604798425, 1.661241939434594, 1.4610969562954477]"
11,"[8, 6, 7]","[3.330131059255935, 1.1785989270681065, 0.08801350800222463]"
12,"[6, 7]","[1.1237150762130774, 3.2209425293333886]"
13,"[7, 9, 8]","[2.1309285401993074, 0.7043788529780356, 0.39920499627500117]"
14,"[7, 10]","[2.2919035064752227, 1.5302860586903513]"
15,[11],[0.04396459954738552]
16,"[10, 8, 7, 11]","[0.7109403562437608, 1.1155429878767151, 2.310581175151216, 0.006860408791142469]"
17,"[10, 9, 6]","[1.7620087841869088, 1.960159497489789, 1.3535807404631601]"
18,"[11, 10, 6, 9]","[1.3774377828283002, 0.5046803385794218, 0.7261784029739299, 2.324699534995375]"
19,"[9, 8]","[1.7888600364979852, 1.0409773784545866]"
20,"[7, 9, 6]","[0.09535397099694853, 2.322390870797852, 0.2802209578820486]"
21,"[9, 11, 7]","[0.3221258455058128, 1.1062188452278556, 0.1565168995756302]"
22,"[11, 7, 6, 8]","[1.834551080535239, 0.3111860900766844, 0.934634204900624, 0.9045011300993968]"
23,"[8, 11, 10, 6]","[0.5175510796506515, 1.2501861828829417, 2.4419205358818847, 1.2670747346425544]"
24,"[11, 10, 6]","[2.907177134925009, 1.6497468885010536, 1.559764826412712]"
25,"[7, 9, 11]","[1.7500796875730011, 2.9043112563501094, 1.0664087892864595]"
26,"[6, 11, 10, 7]","[2.4338481219361885, 0.5132124610791123, 0.4137848089775906, 1.986636173235067]"
27,"[11, 9]","[1.0131475986749754, 2.0418071232047783]"
28,"[7, 6, 8, 10]","[0.6882560778149883, 0.05723729013153844, 0.3182334423166384, 1.976155196782068]"
29,"[9, 11, 10]","[1.6801645049469853, 2.6587634137097513, 2.039592165098719]"
30,"[9, 7]","[1.9134289160363998, 0.9204744670230075]"
31,"[6, 7, 10]","[2.623768344068111, 1.0409097099593374, 0.8264471293077968]"
32,[9],[1.4432235848992352]
33,"[9, 7, 11]","[1.3381813597469574, 1.3359462590716, 1.235945420097445]"
34,"[6, 11, 7]","[1.6785021118363006, 0.8311298442872295, 1.3667498342999773]"
35,"[10, 6, 8, 7]","[1.37922601701115, 2.3477026034151898, 1.7708754779769307, 1.6431846306133568]"
36,"[7, 11]","[0.28816391585026213, 1.7673577872916346]"
37,"[8, 11, 7]","[0.03219467360392503, 2.70988127647815, 1.2684328839464323]"
38,[6],[0.6086191956137782]
39,[9],[0.7591781595627988]
