task_Number,endpoints_location,bandwidth_demand
0,"[6, 8, 9]","[0.06045558646716076, 0.8481301465893791, 1.157738971230866]"
1,[8],[0.21171934042044016]
2,"[8, 11, 10, 6]","[1.7088643951782587, 1.4228505220973993, 1.385026688776289, 0.35284041786449005]"
3,"[6, 11]","[0.7374697713462481, 1.0734178126285]"
4,"[11, 10]","[2.2793413186538203, 1.2712834615212407]"
5,"[11, 9, 10]","[1.4651013635521926, 1.7163001840470737, 0.991070636732841]"
6,"[8, 6]","[0.09770245588012405, 2.382322495124525]"
7,"[7, 8, 6, 11]","[0.0371043508958564, 0.7173878406454424, 1.2377320115972956, 2.3748721422150934]"
8,"[9, 7, 11]","[1.7638756535357918, 1.009460260031501, 2.4387527438639447]"
9,"[11, 10, 6, 9]","[0.43184998669360886, 0.8971480884468446, 1.0920371424143505, 0.4345066594038721]"
10,"[6, 7]","[0.5201632364748167, 1.5953675156814853]"
11,"[10, 7, 8]","[1.371191047088166, 0.30238520829892135, 1.0352121695117409]"
12,"[8, 10, 11]","[0.9249547264970964, 0.9518352855401334, 1.710319734267967]"
13,"[8, 6, 7]","[2.27261803053983, 3.0636495541393134, 0.0436242807929943]"
14,"[6, 10]","[1.2700757694692832, 0.6352924778362268]"
15,[9],[0.8216487733466503]
16,[8],[0.3168086607012802]
17,[7],[1.4432426128712774]
18,"[9, 10]","[1.4621593408759932, 0.379463043486268]"
19,[11],[1.510927049089212]
20,"[11, 7, 10, 9]","[1.770077659169678, 1.4485796433155942, 0.4591348792305441, 0.750418684210514]"
21,"[10, 6, 9]","[0.6173845240841153, 3.001563755122335, 1.2574707228316897]"
22,[9],[1.3937046433597757]
23,"[11, 7]","[1.7047596732851105, 0.18211182924762104]"
24,"[9, 10, 6]","[1.367175875612555, 1.044039399718989, 0.7512824619003987]"
25,"[11, 9, 8, 6]","[1.8718607354920893, 1.8511217330711986, 0.3744799441467961, 0.7451554998148486]"
26,"[10, 9, 8, 6]","[0.3816527935762778, 0.6034134730492853, 0.8465092305002645, 0.1683829265322263]"
27,"[6, 10, 11]","[0.5760912734055277, 0.21404007400484448, 1.4749625247682074]"
28,"[6, 11]","[1.7209714897517192, 1.8488651107907637]"
29,[6],[0.08601089932440964]
30,"[9, 11, 10]","[1.3673547703372608, 0.7511786522083204, 0.9487400940471699]"
31,"[7, 8]","[0.44378197143698994, 0.7254436323124827]"
32,[10],[2.0085621117796237]
33,[9],[2.364646251724418]
34,"[6, 7]","[0.9345506233420545, 1.0250810022022427]"
35,"[8, 10, 9]","[2.7371492777943356, 1.4061460841902933, 2.523029558753114]"
36,"[9, 8, 6, 11]","[0.17205974679102465, 0.17873299524430009, 1.0370880866175827, 2.0206105884970103]"
37,"[8, 7, 9, 6]","[1.5459780831622139, 1.7459035371202685, 2.544160762738329, 2.9837595870074]"
38,"[6, 11]","[1.7308663622960072, 0.6967121348125465]"
39,[8],[1.7265851650362047]
