data_link, bandwidth_capacity
"(1, 2)",3.765550723728729
"(3, 2)",3.765550723728729
"(8, 2)",3.765550723728729
"(4, 10)",3.765550723728729
"(7, 1)",3.765550723728729
"(3, 0)",3.765550723728729
"(2, 8)",3.765550723728729
"(9, 3)",3.765550723728729
"(6, 0)",3.765550723728729
"(2, 1)",3.765550723728729
"(3, 9)",3.765550723728729
"(0, 5)",3.765550723728729
"(1, 4)",3.765550723728729
"(5, 4)",3.765550723728729
"(3, 4)",3.765550723728729
"(2, 5)",3.765550723728729
"(1, 0)",3.765550723728729
"(10, 4)",3.765550723728729
"(0, 1)",3.765550723728729
"(0, 3)",3.765550723728729
"(11, 5)",3.765550723728729
"(4, 1)",3.765550723728729
"(4, 3)",3.765550723728729
"(5, 11)",3.765550723728729
"(0, 6)",3.765550723728729
"(5, 0)",3.765550723728729
"(1, 7)",3.765550723728729
"(4, 5)",3.765550723728729
"(2, 3)",3.765550723728729
"(5, 2)",3.765550723728729
