,valuation coefficient
0,15.973327989705378
1,27.82728809361661
2,10.866820985626646
3,28.367826860735736
4,21.249164745498923
5,26.859602255748097
6,29.752886910852766
7,14.132989474785244
8,13.319075966024995
9,18.763228901277284
10,26.219558259154443
11,13.993109239366014
12,19.154144510941194
13,11.226652988493534
14,9.612301698263156
15,183.33943295205972
16,22.816365047012532
17,19.682440115520414
18,13.313605485729724
19,26.670860900970215
20,27.349654211884065
21,22.867510590028445
22,184.0294743022255
23,22.238280829450886
24,25.594771243868475
25,9.38573469724006
26,181.87742204189888
27,22.324998073185675
28,26.387800426010926
29,24.073237364853856
30,13.058126464690275
31,199.89907532139927
32,13.928625263851728
33,28.736107339532445
34,14.558132694312455
35,11.601026058832051
36,15.71810037050254
37,21.397943818465556
38,16.0494660580069
39,10.072612306044887
