task_Number,endpoints_location,bandwidth_demand
0,"[9, 6]","[0.15911148531590347, 0.8972479957719351]"
1,[6],[1.775968575322843]
2,"[9, 7]","[0.6284101966605335, 1.8150391860281707]"
3,"[7, 8, 10, 6]","[1.0315934276667391, 1.0783111231109501, 0.03405331192964056, 1.3766135447933168]"
4,"[9, 10]","[1.6803957242508072, 3.1037031051131767]"
5,"[6, 9, 8]","[1.4100754290088868, 1.8427317064142321, 2.086047028273293]"
6,[9],[0.6547579476117287]
7,"[11, 6, 8, 10]","[0.38854171660738634, 1.5226691166165165, 0.0989932334458552, 0.9020720032644877]"
8,"[7, 9]","[1.3691740472443623, 3.1269584528212993]"
9,"[6, 10, 9]","[0.04866711347977071, 2.6887818080788066, 1.5427452400427777]"
10,"[9, 6, 10, 11]","[0.6480356585027802, 1.7209846549681247, 2.6933854517131275, 1.0307375420734108]"
11,"[7, 9, 10]","[1.0891409220327364, 1.9822097755353292, 1.2978860962506933]"
12,"[9, 10, 7]","[0.7993312798654733, 1.215705243738298, 0.5142674909632199]"
13,"[6, 11, 7, 8]","[2.173085726083776, 0.6691888168240057, 1.2599882886909357, 2.2368389798619335]"
14,"[6, 7, 10]","[0.756647648430889, 0.1733033229488321, 0.04879102602595009]"
15,"[8, 9, 11]","[3.16031403287687, 0.5387236806543627, 0.29510607150517365]"
16,[9],[0.8977170539753437]
17,[10],[2.8454081893798246]
18,"[8, 7, 10, 11]","[1.5363917954072197, 1.2429167628644198, 1.9476519221223358, 1.9315129631538759]"
19,"[7, 9, 11, 10]","[1.652128001544698, 0.13261447887249023, 2.0421817768420065, 2.1071874688808987]"
20,[8],[2.9572150864677953]
21,[10],[0.09846889132680603]
22,"[11, 6]","[2.7960215192646722, 1.202093166210857]"
23,"[6, 9, 10]","[1.18438899291557, 0.2909096782733265, 1.2963561133643635]"
24,[6],[3.3951711838644005]
25,"[6, 8, 11, 7]","[1.657221749696373, 0.4372105663285125, 0.9303117997638082, 1.5852964757310821]"
26,"[11, 10, 7]","[2.294326817739921, 0.30193144379482406, 1.2441429203243723]"
27,[8],[2.07051768501836]
28,"[8, 9, 7, 10]","[0.6560244758460155, 0.7293413577709893, 1.4576467430351516, 0.2599612450959492]"
29,"[10, 7]","[2.066213389332319, 2.435766418210239]"
30,"[11, 9, 6]","[0.10595908069808979, 1.2323246309906397, 0.903711544670357]"
31,[10],[2.3500444539237613]
32,"[8, 7, 11, 6]","[1.9919158686243366, 0.08214462363061992, 1.612526762059739, 1.5789318997125412]"
33,"[6, 10]","[0.6223988917457389, 2.27274513313289]"
34,"[7, 10, 6, 8]","[1.8755498017950287, 1.9842507000609475, 0.896475311524156, 1.1567937668682446]"
35,[11],[2.215382877758914]
36,"[6, 9]","[2.9243095226634455, 0.15581284755868408]"
37,"[11, 7, 10, 6]","[2.142159140568433, 0.8961098653089248, 2.4059291336072786, 2.000116861886907]"
38,"[10, 11, 7]","[1.2057983261713998, 1.2338162720172832, 2.169685188878418]"
39,[6],[1.0879749245317698]
