task_Number,endpoints_location,bandwidth_demand
0,"[9, 8, 7, 11]","[0.38789573892042983, 0.8229178089668072, 2.422154862830691, 1.085602498603666]"
1,[10],[0.8202039795656317]
2,"[6, 8]","[1.4808847284062696, 0.09121139579960014]"
3,"[8, 10, 6, 11]","[0.9805487469228343, 1.4088651237312368, 1.402437855486988, 0.7467419915795637]"
4,[11],[1.476043434798218]
5,[8],[1.2834219298242486]
6,"[8, 7, 10]","[1.5806761733142825, 0.36398526462736136, 0.4754549685831536]"
7,"[10, 7, 11]","[0.7752328226614535, 1.3956593903737287, 0.923065486153448]"
8,[11],[0.7952762259744522]
9,[10],[1.3762091468015356]
10,"[7, 11]","[0.9734006275850582, 2.285307724195264]"
11,"[8, 6]","[0.24025676823292774, 2.682723383459928]"
12,"[6, 7, 11, 10]","[1.6593061014823285, 1.5151328898711303, 0.6960972184153164, 3.0057696176598108]"
13,[7],[1.0213688843464288]
14,"[7, 9, 8, 6]","[1.3551567223687289, 0.23403871213176197, 1.9067139350780646, 0.9711371858085349]"
15,"[7, 8, 9]","[0.09154065939730183, 0.9785996116672626, 0.3335884904034381]"
16,"[9, 7, 6]","[0.9131221218836171, 1.3050780321073085, 1.4140981516657698]"
17,"[10, 8, 9]","[0.11952043174951799, 1.8881991865639725, 1.5282888193487043]"
18,"[8, 11, 6, 7]","[1.7712708886119626, 0.946787662439555, 1.8728333380245101, 0.015061122200596189]"
19,"[11, 8]","[1.4213869331030056, 1.4478066409607893]"
20,[7],[0.7243983614146757]
21,[7],[1.7480464490021987]
22,"[7, 10]","[1.8177448111644003, 0.9797994898637705]"
23,"[6, 10, 9]","[1.4351787554194406, 0.8626617615176683, 2.5848812179008256]"
24,"[7, 11, 8]","[1.5838320023121188, 2.358445548936869, 2.178753980371943]"
25,"[9, 11]","[0.48136999880584974, 1.5466151484301442]"
26,"[10, 11, 9]","[0.525508847892669, 0.938949829323609, 1.5479782698190245]"
27,"[8, 6, 9, 11]","[1.9335997642600953, 0.8558294199573993, 3.0603738759527728, 2.067707606561852]"
28,[10],[1.4082496038924168]
29,[6],[1.739163132673121]
30,"[9, 11, 6, 8]","[1.755257128546212, 0.11764546803726161, 1.3728898603543465, 0.4499776967620487]"
31,"[10, 8]","[0.6545941849318456, 2.0791770277870087]"
32,"[8, 6, 7, 9]","[1.623351265318982, 0.5901040349535273, 2.1312970687469406, 0.8747098001338656]"
33,"[11, 10, 8]","[1.6014866610607712, 2.2178717805132657, 1.3436358097801775]"
34,[8],[1.0988195389149218]
35,[9],[2.0303341842777196]
36,"[9, 8, 7]","[0.9776569369926084, 1.495392211429218, 0.15683151017573993]"
37,"[9, 11, 10]","[0.79125294591011, 1.6258601406172795, 0.5024773487585212]"
38,"[7, 9, 10, 11]","[1.5783469849152203, 1.7148813811734787, 2.9601979646654515, 1.485199642823027]"
39,[10],[0.5860129968171809]
