task_Number,endpoints_location,bandwidth_demand
0,[6],[0.7135143195591032]
1,"[8, 6, 10]","[0.2764059129710986, 0.8963059605191317, 0.3137467228997084]"
2,[7],[1.1564871750165382]
3,[9],[3.764601558880403]
4,[8],[0.6843512870545643]
5,[7],[0.9610207888378253]
6,"[9, 7]","[0.7500078647455609, 1.3767881692134285]"
7,"[11, 10, 9]","[1.4930575309360503, 0.5302265754765052, 1.2552408200864233]"
8,"[7, 9]","[1.6302348812356922, 1.6574459283322192]"
9,"[10, 11, 8]","[1.6062608604377755, 1.4436792668807223, 1.2408612411982396]"
10,[9],[2.0309254838534367]
11,"[10, 8, 7, 11]","[0.8478259508922742, 1.614769905289863, 2.1538676130793273, 0.8033284545543519]"
12,[6],[0.9124171544138886]
13,"[10, 6, 8]","[0.43613462979783435, 1.3845601992319143, 1.3986257210029538]"
14,"[11, 10, 6]","[1.7399857958188623, 0.8289905044515642, 1.4329095363796132]"
15,"[10, 7, 8]","[0.9273631005522789, 2.0525477671212204, 2.174278864309552]"
16,"[6, 8]","[0.1312095584710654, 1.420984526119014]"
17,"[8, 11, 7, 10]","[1.4951065776919683, 2.4194624235385707, 1.8769349904938109, 1.872708132890041]"
18,"[6, 9, 7]","[1.175743578091864, 0.4129548904466718, 1.368877600354134]"
19,"[6, 9]","[0.715476681656723, 4.434327007643008]"
20,"[7, 11, 6, 10]","[0.5491702037109054, 1.1041825535644127, 0.3924018713726177, 1.7381462284245193]"
21,"[8, 9]","[2.6619106742602776, 2.3313598924023524]"
22,"[6, 11]","[0.5370470523855057, 1.0021799162495904]"
23,"[11, 8, 6]","[1.9037017063913564, 1.3415591311885944, 0.9668458294822467]"
24,"[8, 9, 7, 10]","[2.1095735609574353, 1.9316408698757868, 1.6966292434401657, 1.3788317913623658]"
25,"[11, 7, 10, 6]","[1.3010845896269028, 1.0027590125361963, 2.631195107743369, 0.6725246265949392]"
26,"[7, 10, 6, 11]","[0.8974545732999244, 0.8359315403400905, 0.08427868494060264, 2.637322520718818]"
27,"[10, 7]","[1.9871683090542693, 0.6599593781313537]"
28,"[6, 9]","[1.3089880470956372, 0.44820384083588394]"
29,"[11, 10, 9, 6]","[0.9363111830899093, 0.9210070005301951, 1.0791719476060808, 1.6537547238582126]"
30,"[10, 8, 9, 11]","[1.5306742212432651, 0.601379598416626, 0.8888973988097848, 1.2541195054046876]"
31,"[6, 7]","[0.7892226531974401, 1.3977593884872452]"
32,"[6, 7, 11]","[1.6083216752256664, 2.569385517578442, 1.8962686292754607]"
33,"[6, 9]","[0.3805107651215609, 1.508037322909945]"
34,[9],[2.2822102437332603]
35,"[10, 9, 6, 8]","[1.096204256474559, 0.08941421952385775, 0.24984679558502532, 0.45660111830333505]"
36,"[11, 9, 10]","[0.8730730371947022, 0.3321783877678739, 1.2834267789678453]"
37,"[7, 10, 9]","[1.7104673617186643, 1.1856079809014628, 1.3172638794182288]"
38,"[6, 8, 7]","[0.4512737754211852, 3.014121749032066, 0.9049364906732756]"
39,"[7, 11, 8, 9]","[2.4868875045269028, 1.619519580660125, 0.11716871495799663, 1.6402070514950877]"
