,valuation coefficient
0,21.239513431576466
1,8.935836124426665
2,13.394780388344799
3,18.72042564940093
4,27.918793276340395
5,26.655631318760197
6,22.386455822099347
7,9.19449005000839
8,16.52329971001743
9,26.091366907510892
10,19.97024432955312
11,26.90403134709216
12,16.786343194206832
13,23.19927098313473
14,22.18518809777958
15,22.687300924891527
16,21.883587279850467
17,15.061128486193258
18,22.620666173096133
19,29.93456208258672
20,28.74118747600362
21,29.55435374593248
22,24.293710800646128
23,22.98880632779789
24,25.617058650136794
25,25.397534402030043
26,18.89499230453881
27,192.69518405310157
28,187.8634943814348
29,199.4237855977251
30,25.859522188798454
31,15.415394508787386
32,19.509624671246755
33,19.002701570229497
34,13.935962773900503
35,18.432210636236345
36,21.322269716697004
37,181.48200837360628
38,13.721321880883309
39,29.96300506237317
