data_link, bandwidth_capacity
"(1, 2)",4.137294721577491
"(3, 2)",4.137294721577491
"(8, 2)",4.137294721577491
"(4, 10)",4.137294721577491
"(7, 1)",4.137294721577491
"(3, 0)",4.137294721577491
"(2, 8)",4.137294721577491
"(9, 3)",4.137294721577491
"(6, 0)",4.137294721577491
"(2, 1)",4.137294721577491
"(3, 9)",4.137294721577491
"(0, 5)",4.137294721577491
"(1, 4)",4.137294721577491
"(5, 4)",4.137294721577491
"(3, 4)",4.137294721577491
"(2, 5)",4.137294721577491
"(1, 0)",4.137294721577491
"(10, 4)",4.137294721577491
"(0, 1)",4.137294721577491
"(0, 3)",4.137294721577491
"(11, 5)",4.137294721577491
"(4, 1)",4.137294721577491
"(4, 3)",4.137294721577491
"(5, 11)",4.137294721577491
"(0, 6)",4.137294721577491
"(5, 0)",4.137294721577491
"(1, 7)",4.137294721577491
"(4, 5)",4.137294721577491
"(2, 3)",4.137294721577491
"(5, 2)",4.137294721577491
