task_Number,endpoints_location,bandwidth_demand
0,[11],[1.6210283904432115]
1,"[9, 10, 11]","[1.1375138663701183, 1.8212801944222945, 0.6900351370478204]"
2,"[10, 8, 7]","[0.580857393761492, 0.4721978835991797, 0.9218045768827485]"
3,"[11, 6, 10, 8]","[1.092473897111755, 0.40703585908108475, 0.6891140890488803, 1.075797398071664]"
4,[6],[2.2052093516255065]
5,[7],[1.7102906342914994]
6,"[7, 11, 6, 9]","[1.589767270116499, 0.5630860438573911, 1.5099864942394654, 1.7437003194679535]"
7,"[10, 6, 7, 9]","[1.8826637970610482, 0.4936948868466119, 0.7045425355274266, 0.8877211443358722]"
8,"[6, 9]","[1.0118211469526108, 1.0043518277866625]"
9,"[7, 6, 11, 10]","[2.2150538248630145, 0.9118804817891718, 0.9093716452092773, 1.2220015942956333]"
10,"[6, 9, 8]","[0.1404150893065983, 0.6564041054426519, 0.8487775379122078]"
11,"[10, 6, 8, 9]","[0.10163942181934837, 0.49574914795719105, 0.2880334278568728, 2.0913088988327173]"
12,"[11, 9, 10, 6]","[2.27939081773409, 0.8765644091365249, 1.56315261083002, 1.436109425301281]"
13,"[6, 10, 9]","[0.31373704776859457, 1.0312044431424643, 0.09323407357156477]"
14,[6],[0.4525684734392208]
15,"[7, 11, 9, 6]","[1.893784059484604, 0.8976757437581249, 1.6989611743933957, 1.4346916339270717]"
16,"[11, 8, 6, 7]","[1.1004285851485354, 1.3930960692758174, 1.5802057618110474, 0.377009548718214]"
17,"[9, 8, 11]","[1.6288001758168458, 0.7946999687178331, 0.431342710303926]"
18,"[11, 10]","[2.2640911402493353, 1.1295152410302514]"
19,"[7, 11]","[0.17474022154969027, 0.8449406197909715]"
20,"[7, 9, 10]","[0.988060500401317, 1.6237454194907444, 0.1464039598986936]"
21,"[11, 8]","[1.0111294077856827, 0.8166534088028305]"
22,"[6, 10]","[0.39626462467790524, 2.3128440701680937]"
23,"[10, 6, 9, 8]","[0.5198086680394167, 0.570347510596551, 0.657789480472561, 1.6173205041897467]"
24,"[11, 7, 6]","[1.7407435461812537, 0.03246668255978158, 1.3169974469829857]"
25,"[7, 8, 6, 11]","[0.7448365994437643, 1.548130233328791, 1.4209039065103664, 1.2427786617635923]"
26,"[9, 8, 11, 6]","[2.5408631282993133, 2.431682158914344, 0.2561041531366214, 1.7847768949337746]"
27,[9],[0.9914850998060455]
28,"[9, 8, 10, 7]","[1.5967633363240599, 0.9549490264634649, 0.1722959551823764, 1.914790485007464]"
29,"[8, 7, 11]","[1.0059049555495823, 0.7750245757570071, 0.687509630490137]"
30,[9],[1.6886342132856704]
31,[9],[1.1137772389260174]
32,"[10, 6, 7]","[2.68641658568925, 0.2354851108928634, 1.6146000042996096]"
33,"[10, 6]","[0.8161456607542327, 2.3051279849881077]"
34,"[11, 6, 8, 7]","[1.2936352977300394, 1.3428189682465959, 1.8075892711136818, 1.0954964674388348]"
35,[11],[0.6587077499421266]
36,[9],[0.6317095041138241]
37,"[8, 6, 9, 11]","[0.24486178885206422, 0.9399947654940733, 1.314387151375449, 0.3231176245960241]"
38,[10],[1.0116387727118288]
39,[11],[1.766396914222692]
