task_Number,endpoints_location,bandwidth_demand
0,"[8, 9, 11]","[2.372178777306537, 2.610523514890862, 1.8115006000737237]"
1,"[6, 10]","[0.3966583173128073, 1.184672171333815]"
2,"[11, 7, 8]","[1.8906604737321877, 0.6664039639571508, 0.603532040635457]"
3,[8],[0.8157697293333301]
4,"[8, 11, 10, 7]","[0.05200560741736382, 1.4199254493787412, 1.1191783303742682, 2.360343606364292]"
5,"[10, 9, 7, 8]","[1.8417616893862498, 2.5755207368150783, 0.3023365381195886, 0.42707553878274174]"
6,"[6, 10]","[0.9978690215504171, 2.7729278573053895]"
7,[9],[3.0357391334182293]
8,"[7, 9]","[1.0611806076068777, 0.33317326717797957]"
9,"[10, 7, 6]","[0.3497786461031974, 0.7994577495628955, 1.225036738388693]"
10,"[9, 8, 6, 11]","[0.15766152438038927, 0.6672739850750415, 2.626426632558804, 1.0541741812735133]"
11,"[9, 6, 8, 10]","[0.9132139281868964, 1.243651844700407, 0.5971412527392579, 1.1401907681959353]"
12,"[11, 7, 9, 6]","[1.6365516975342036, 2.0936097161759326, 1.6053510652787204, 2.3938753683190304]"
13,"[6, 9, 8]","[0.6132467114134275, 3.1078483401322616, 0.05872023786748837]"
14,"[11, 7]","[1.0722263295273105, 1.5465302596362787]"
15,"[8, 9, 10]","[0.7340660389668101, 2.102337644504442, 1.2769338523891192]"
16,"[9, 8]","[0.28784686781494295, 1.3130108774322153]"
17,"[11, 8, 7]","[0.43318836856874865, 1.868539518643754, 0.8977638371265817]"
18,[9],[0.6862610240424025]
19,"[8, 7, 11, 6]","[2.1154382665954357, 1.6471129495094643, 1.474266701431082, 1.6030310728378856]"
20,"[7, 10]","[1.6547945793919019, 1.1781763745105298]"
21,"[11, 10, 7, 9]","[2.1115140816170497, 1.2937084428307757, 2.0743116989479438, 0.16737915928738134]"
22,"[11, 6]","[1.9578388242332314, 2.963865535401649]"
23,"[7, 9, 11, 10]","[0.4562667426908882, 1.84209935365375, 1.0353542865873158, 0.06639831113598527]"
24,"[6, 11, 8, 9]","[1.587835549363139, 2.6901175065246172, 0.052564592128475085, 0.4544320269376745]"
25,[6],[1.4849336732226819]
26,"[7, 9, 11]","[1.065982918948657, 0.8364190698318121, 1.303415403499315]"
27,"[11, 9]","[0.6640915284298905, 0.6621196929053861]"
28,[11],[2.798543363709265]
29,"[6, 7]","[1.5884343894686441, 0.20211596730065362]"
30,"[10, 11, 6, 8]","[0.1960959055412782, 0.565353679509784, 1.091691130497295, 2.1146975155936554]"
31,[9],[1.1923551923107338]
32,"[6, 7, 9, 11]","[0.7647250544139551, 0.46432088434745555, 2.0481664727106024, 0.24505304971421749]"
33,[10],[0.863955278778666]
34,[10],[0.09849226550753942]
35,"[11, 8, 7, 6]","[0.7055323553058552, 1.0038423362461768, 0.5935485027335885, 1.0669553961294684]"
36,"[8, 11, 6, 9]","[2.72489511713962, 1.1595038225856664, 1.5081007184505988, 0.3972501921357515]"
37,"[9, 10, 7]","[1.1424757193935833, 0.6127592033195286, 1.8178934170748313]"
38,"[8, 11]","[0.01655326826353498, 1.7499668146991239]"
39,"[7, 9]","[0.4644388249273924, 0.2067864551767271]"
