task_Number,endpoints_location,bandwidth_demand
0,"[9, 11, 10]","[2.143548599778672, 0.07793426904409873, 1.477907752383015]"
1,"[10, 8, 9]","[0.14277219375861883, 1.6151022838639109, 0.3652163063064068]"
2,[7],[0.6055487257917925]
3,"[6, 10]","[2.540769595065961, 0.7079210977794388]"
4,"[9, 8]","[0.4882566689284381, 1.801341383043507]"
5,"[7, 9, 6, 11]","[0.8424567017970916, 0.5031160768805407, 0.5041679293449757, 0.7014930195710385]"
6,[6],[0.4869255645475802]
7,[7],[1.3224046318214004]
8,"[10, 7]","[1.9175624755929117, 0.25376348357961387]"
9,"[11, 6, 7, 8]","[1.56369192956782, 1.1915939487705551, 1.8448526726340133, 0.011431415973885306]"
10,"[8, 11]","[0.7931873083115295, 0.25566070775078864]"
11,"[10, 8, 7, 11]","[2.9415357200519643, 1.509074984057426, 2.2933103002222195, 1.0252068582138159]"
12,[7],[0.6628705740755997]
13,"[9, 11]","[0.5366293508045592, 0.38229312324391873]"
14,[9],[1.8049452192083333]
15,"[6, 7]","[0.4640031121063566, 1.381597140367153]"
16,"[6, 8, 10]","[0.3485705285087103, 0.4173503687890848, 2.020117900129554]"
17,"[8, 11]","[1.3791201457412887, 0.010075865635898462]"
18,"[6, 7]","[1.544905189403875, 0.7110108975660898]"
19,[11],[2.281891321057671]
20,[9],[1.0769201643142823]
21,"[6, 8]","[0.1521737790744464, 1.173679687535772]"
22,"[10, 6, 7, 11]","[0.23516048135969825, 0.03089497778662431, 0.32662391492862886, 1.8685821006643644]"
23,"[10, 11, 9]","[1.9254074842335087, 1.5835411048805619, 1.7462843572736826]"
24,"[9, 7, 11]","[1.1576215084976713, 1.6951328771640504, 0.7572179110267939]"
25,"[11, 8, 7, 6]","[1.1434671707632182, 1.4934316472472642, 1.3304298032558703, 1.7633454947695997]"
26,[8],[0.14349333205201864]
27,"[10, 8, 7]","[1.929318620877328, 1.5306043786128583, 2.0070338659812026]"
28,"[8, 10]","[0.39484533242092323, 1.3759823727929839]"
29,"[10, 6, 8]","[1.2362997126270034, 2.3833677403354043, 1.3528790514857425]"
30,"[11, 6, 8]","[2.0935242000649463, 1.1989115892985516, 0.9237791883110615]"
31,"[8, 9, 7, 6]","[3.132015641345504, 1.8438875991085868, 0.975527070723655, 0.3657101792000398]"
32,"[7, 6, 8, 9]","[1.8016797983730632, 0.31118380496535525, 0.9231477765125172, 1.2406153833416635]"
33,"[9, 10]","[1.352627062721445, 0.27627681230014667]"
34,"[11, 9]","[0.43892557475824046, 2.1137625199764027]"
35,[11],[2.0086505205594634]
36,[8],[1.2787093033705392]
37,"[10, 6, 9, 11]","[0.5264549362835216, 0.846542352443761, 0.7334438616906207, 0.5640709154413357]"
38,[7],[3.090122806912275]
39,"[9, 11]","[0.45739799104268786, 2.6004364920220757]"
