,valuation coefficient
0,29.741076422372974
1,10.508498362214961
2,192.58990200578512
3,22.34251577416552
4,9.938698515385479
5,26.16455347913101
6,18.8516190806737
7,15.48086096146154
8,12.819679172698883
9,23.81566198786605
10,28.10426426649916
11,20.35665748627958
12,196.3155274696456
13,17.9204880309786
14,26.461826839559414
15,8.573697074807857
16,27.69242427459261
17,19.51259859207652
18,27.536030841692114
19,24.38011482798946
20,11.259936303956279
21,27.632113580870016
22,19.577343168526298
23,29.937877868227016
24,13.491427107996453
25,198.69005745056543
26,18.95791598676005
27,12.310334684314158
28,17.454431376783468
29,25.422911168070684
30,16.479870823181216
31,19.08208756017074
32,21.37362017577597
33,8.932883385852705
34,13.610917880555366
35,22.30402008496364
36,22.6074508586605
37,23.01520329251069
38,184.55996718376457
39,17.41914853911635
