task_Number,endpoints_location,bandwidth_demand
0,[9],[0.6903566973298514]
1,"[11, 8, 6]","[1.8267904540296702, 1.4661548941820965, 0.7076859611751806]"
2,"[10, 9]","[1.476599866109498, 0.748092259504433]"
3,"[10, 8]","[1.2452822950298146, 0.7774964659122068]"
4,[11],[0.7432006362047141]
5,"[6, 11]","[1.0240904629839056, 0.9423555686219823]"
6,"[10, 6, 7]","[0.5033069235437422, 1.5804569429801747, 2.707654541813069]"
7,"[9, 6, 11, 8]","[0.09535845920107533, 0.6133038931614359, 0.4300305720434896, 1.366813242109505]"
8,"[11, 7]","[1.3915795343824706, 0.526373693752269]"
9,[8],[0.9466853455124955]
10,[8],[1.4397002595505741]
11,[8],[2.6562434600554203]
12,"[8, 10, 6]","[0.31422668821611255, 1.9666967953649173, 0.1326852603121842]"
13,"[9, 10, 11, 7]","[1.784461148266308, 1.4659314095437637, 0.42590598361588294, 0.9345618837691215]"
14,"[11, 7]","[1.9205242173745998, 0.41610394856979527]"
15,"[7, 8]","[0.07439549996168249, 3.552767541469762]"
16,"[9, 11]","[1.1856335791816939, 1.1217517718533658]"
17,"[7, 11, 9, 6]","[1.2688461902351464, 1.0964319425440439, 0.2254910999135865, 1.8573773452349958]"
18,"[6, 9, 8, 7]","[1.6477540983230101, 0.11704791112885438, 0.7515451613551303, 0.6353098302997691]"
19,"[7, 11]","[0.6458456205886984, 2.867489595176755]"
20,"[8, 7, 10]","[1.9798081167327561, 1.9012551437300165, 2.0978286196096043]"
21,"[8, 7, 6, 11]","[1.2955391250421349, 1.1109654894228944, 2.353391381476328, 0.24352212316690836]"
22,"[8, 7, 6]","[1.2130816777816853, 1.4554830627333963, 0.835073223157929]"
23,"[9, 11, 7, 6]","[0.9357578978865903, 0.01667796159243584, 1.9481987690226759, 1.73692249240601]"
24,"[9, 10, 11, 7]","[1.305382546634473, 0.7989065050413644, 1.6966243763857716, 0.2511052557215646]"
25,[11],[0.3490102181304322]
26,"[11, 10]","[0.8828732849393333, 1.8084037526553427]"
27,"[10, 8, 6]","[0.42457618366896377, 1.5539593865801766, 1.5852334824014316]"
28,"[8, 9, 10]","[0.13563627314682247, 1.7754212537650378, 2.4082550600929777]"
29,"[10, 6, 8]","[1.1149479050222353, 0.04444394557141207, 1.5326054606261765]"
30,"[9, 6]","[1.755031069116476, 0.2597998313015213]"
31,[6],[1.9142673465208886]
32,"[6, 9]","[1.2480697212499874, 0.8095324102396568]"
33,[10],[0.7304219291240781]
34,"[7, 11, 6, 9]","[0.00027292455645411273, 0.9085974057295838, 0.0026861414658254645, 0.8184415436497977]"
35,"[6, 7, 10]","[1.872960982261907, 0.37830790936515024, 1.7072230490227969]"
36,"[11, 7, 6, 8]","[1.4556573650066926, 0.1344223622830355, 1.4181667727875629, 1.8605978667461058]"
37,[11],[0.47531824186400695]
38,"[10, 8, 6, 11]","[1.4237567863162648, 1.9262005128262247, 0.5962838593845206, 0.5554052980869137]"
39,"[6, 7]","[1.1473700082718832, 1.2981397044063043]"
