task_Number,endpoints_location,bandwidth_demand
0,"[7, 11, 6]","[2.1832119260210123, 1.3780481472253654, 1.984635302304778]"
1,"[6, 7, 8]","[0.437945017467668, 0.5735425507686815, 1.3405216566939673]"
2,[7],[0.6472073743097777]
3,"[6, 8]","[2.093663185897204, 2.186159148232157]"
4,"[9, 8, 10]","[0.43687006700781317, 2.5481281604801898, 0.36820704408579996]"
5,[9],[1.5124735037802473]
6,[8],[2.4970984914075007]
7,"[8, 7, 10, 9]","[0.5242754525854931, 1.328382994117335, 0.7171944659382854, 0.2797810550780331]"
8,"[8, 7, 11]","[1.0675289946781472, 0.7386979488569354, 0.5853512235744676]"
9,"[11, 10]","[1.631566106210955, 0.6859747272220152]"
10,"[9, 7, 11, 10]","[1.4508522420888033, 0.26656866775421506, 0.6011184752177736, 1.88544197377722]"
11,"[9, 6, 11]","[1.4137344034208856, 0.3344491277675582, 0.3507897660509769]"
12,"[10, 8, 9, 11]","[2.7960149262965666, 1.486300446263185, 0.3376944824126151, 0.1709920837445288]"
13,"[8, 9]","[0.6254818649169283, 0.6438191072991564]"
14,"[9, 6]","[1.9457768549986525, 1.8688905272869512]"
15,"[9, 6, 7]","[1.3202774537489863, 1.3756370310614283, 1.7298071750516262]"
16,"[7, 10, 11, 8]","[0.8598469514416311, 1.370565647666417, 0.17347544059888786, 1.3879712912437732]"
17,"[11, 6, 8]","[0.7522003239144435, 2.076912909686646, 0.5815554859119266]"
18,"[10, 9, 7]","[0.28043435536629957, 1.139274753670223, 1.332882453678245]"
19,"[6, 11, 9]","[1.8845346974490937, 1.3679887648177516, 1.5391592957413898]"
20,[6],[0.5696261851891166]
21,"[6, 9]","[2.8607235547232976, 1.4256908062344271]"
22,"[11, 10, 8]","[0.006735785384410109, 1.8196886941646389, 1.865076997549396]"
23,[9],[1.885746428937226]
24,"[10, 7, 11, 8]","[1.630680664925013, 1.9645087117407942, 1.041318911150169, 2.216227080327564]"
25,"[10, 8, 6]","[0.6296606496846958, 1.9176584332077724, 0.22157639809423402]"
26,[7],[1.4063859545831223]
27,[8],[1.5030525376341606]
28,[8],[2.142669020806662]
29,"[7, 8, 9, 11]","[2.8349627394931076, 1.0538680759261256, 0.6608383045441231, 0.3760494952060428]"
30,"[8, 9, 6, 7]","[0.4142546260401201, 0.2608287018791777, 1.1684873910465297, 1.0934814456093596]"
31,[9],[2.6172066526279796]
32,"[7, 6]","[1.1037828533043355, 0.5278810920826507]"
33,"[11, 9, 10]","[2.2616804565452426, 2.8044597492132715, 1.7117758865550274]"
34,[9],[2.9719177243259502]
35,"[6, 8]","[1.5229743229132358, 2.4167033836661087]"
36,[11],[1.794460945602101]
37,[6],[0.8388159871153226]
38,[8],[1.2408370169136385]
39,"[6, 11, 9]","[0.4786254751038612, 0.9492648075842155, 0.9054499913636658]"
