,valuation coefficient
0,9.659822737122859
1,180.4665346221251
2,13.786328763718426
3,8.535243703929922
4,29.90160881989487
5,22.76147140083681
6,10.251231832232705
7,8.854985062865444
8,22.597883775073228
9,28.821412668593766
10,24.280109964156765
11,16.09481249759766
12,23.84792856524578
13,15.187130122706776
14,26.877552286302368
15,10.025359548701516
16,9.40814144476086
17,8.752867960680186
18,14.260407790334549
19,23.592360494063133
20,24.464062510642634
21,16.94133143481362
22,197.58129634536127
23,18.658551560221785
24,18.94042129370625
25,21.598845636556582
26,24.21200972140553
27,11.607505852310613
28,11.922721125640543
29,24.63286748995953
30,24.271132004340664
31,24.68759308788701
32,18.45164960046351
33,199.3493309606483
34,29.979851067140952
35,26.814267666735667
36,11.10521009800852
37,185.74136249853353
38,20.315820836747797
39,18.058619513466507
