task_Number,endpoints_location,bandwidth_demand
0,"[9, 8]","[0.6371438639043443, 0.8447403250607669]"
1,"[11, 10]","[1.56137843682932, 0.8043051749757739]"
2,"[9, 6]","[1.6384623845324684, 2.1861228338996925]"
3,[6],[1.2279717476294272]
4,"[6, 8, 10]","[2.0656670914641557, 0.9063174599420494, 0.36748763766849357]"
5,"[8, 9]","[1.229166685982849, 1.868585239159346]"
6,"[8, 11, 10]","[1.0244023788827092, 2.5421734777440337, 1.3216098347371572]"
7,"[10, 9]","[0.5930203991425781, 2.9905592010706004]"
8,"[9, 6, 7, 11]","[1.4083855440760162, 1.208525784721796, 0.2524919286714553, 2.16526227371046]"
9,"[7, 9, 6]","[1.4293232493568147, 0.6616770422588574, 2.1969411403272776]"
10,[6],[1.7869115642732871]
11,[8],[1.2976993739435077]
12,"[9, 11, 8]","[0.3450600972355957, 0.24309509406389163, 1.3267630484493398]"
13,"[8, 10, 11]","[0.5702858799853459, 1.1240798250529278, 3.2241750697378015]"
14,"[9, 8, 6, 7]","[1.0015038718083713, 1.8087821168562261, 0.006485779167769712, 1.4796848302027268]"
15,"[8, 6]","[1.6449068727953873, 0.11850607470870134]"
16,"[9, 11, 6]","[0.6998814577848884, 2.8551546445918783, 1.9585370932971244]"
17,"[9, 6]","[0.6576135292793679, 1.3237345619392538]"
18,"[9, 6]","[2.242394887942576, 0.3076449634447921]"
19,"[7, 10]","[0.8732018454928665, 0.41363110400700887]"
20,[8],[0.6385826653632785]
21,"[8, 10, 11]","[0.7915540565827579, 1.2511749981473832, 0.8583765192338594]"
22,"[8, 10, 7]","[2.821220733972057, 2.179692032385741, 1.6962564887838383]"
23,"[10, 6, 9]","[1.2805295596096609, 0.1537570624993656, 1.4328396399565677]"
24,"[8, 6, 7, 10]","[1.098758208562469, 1.4138386597702046, 1.1963888114962375, 2.240418297285673]"
25,[8],[2.4271344074669496]
26,"[6, 10]","[2.072664439577962, 2.44720856127355]"
27,"[8, 9]","[0.20995708701251914, 1.9031385256858282]"
28,[7],[0.5889203173886133]
29,"[10, 9, 11, 6]","[1.170705756659871, 1.101813943376661, 0.4054647216121081, 2.8462309838331095]"
30,[8],[1.3346729859688735]
31,"[10, 9, 8, 11]","[0.22586702026540628, 1.07305329023646, 1.2154929121012525, 1.274490558733937]"
32,"[9, 7, 10]","[1.3819065501832595, 1.2398551618743348, 1.5612971048988566]"
33,"[7, 8]","[1.2331280002296152, 1.2814163675555288]"
34,"[7, 6, 10]","[1.0355488427954314, 1.9594268350617368, 2.016886053432488]"
35,"[7, 6, 8]","[1.245575807136285, 0.9358494669955352, 0.8560107627293766]"
36,[7],[2.245709351769242]
37,"[9, 11, 7]","[2.1009112066519187, 2.2671319120877733, 2.0920600625777035]"
38,[6],[1.8478316073335637]
39,"[10, 8, 9]","[1.4895461997990602, 1.8804958214365668, 2.4126150892849485]"
