,valuation coefficient
0,18.658966013361646
1,26.39973797556315
2,23.76372570412186
3,18.793234059834944
4,10.937872870315541
5,29.233480036121023
6,26.58875441260839
7,18.640261287166304
8,23.007360943770863
9,19.166681728919187
10,15.838808501149071
11,27.43553097386932
12,8.415148751248662
13,29.64776047105602
14,20.67133403201005
15,13.504106968330515
16,14.351917760007026
17,195.50738621795648
18,25.69063508674053
19,24.3201677733411
20,15.162194781123812
21,13.578423193788112
22,23.769030592064304
23,196.93088109986132
24,28.02369062349171
25,20.64994013266395
26,29.765336215486386
27,25.637762833672678
28,15.49863636984991
29,182.09773996475613
30,19.784350981865483
31,28.396193734730957
32,26.297586866502286
33,10.85297849743925
34,8.370554987902544
35,29.27129050674573
36,19.056672933266505
37,24.18577559981835
38,27.41497570353348
39,197.24201703448622
