,valuation coefficient
0,16.80613091283508
1,193.35837022588532
2,18.999835406234407
3,188.46007274460945
4,19.77006916963815
5,28.415585740584152
6,18.501134625824236
7,15.23522171593812
8,15.595428774595936
9,19.72843677036615
10,16.66416178450546
11,21.458166178781575
12,25.30638100181543
13,15.18574441725768
14,10.478528142660274
15,22.05492406201641
16,26.064883985417346
17,11.51817318104202
18,185.04627001265007
19,26.156289314668264
20,16.0951485179174
21,184.79978592781174
22,27.780407819253416
23,11.201174980292585
24,11.952659542464751
25,28.421538710696744
26,25.75490571984134
27,20.730025664103703
28,9.535944990471611
29,9.640526782486806
30,24.613612332189536
31,26.775624312702195
32,19.616306803011188
33,18.54021803207644
34,24.54358812731545
35,13.953935419311978
36,26.005419158791256
37,12.24078309541444
38,21.495345879316247
39,8.958556270940669
