,valuation coefficient
0,14.293382571417698
1,11.132864454404054
2,193.58121607274325
3,22.07783086923983
4,26.886243888711025
5,18.20925908343672
6,19.837319464400807
7,14.106343932186322
8,27.77293935899891
9,18.00750007964234
10,10.953345216337725
11,28.192095576633925
12,16.038800143030585
13,24.55662458446502
14,8.13860018776311
15,9.66318108912115
16,17.033602979695353
17,22.207512540014132
18,10.446664367676984
19,11.953985326532088
20,15.854857351765704
21,17.464515038814987
22,9.11276884845172
23,193.62016740609286
24,20.83211946693117
25,18.288781258696904
26,28.473814974781977
27,11.50786959338064
28,24.98511726566402
29,27.887579939472577
30,12.139784491905917
31,24.34272244457884
32,14.22819459499091
33,15.847135481782823
34,23.365526705509197
35,12.276344261912284
36,15.13927245069035
37,189.0207382186754
38,192.7071701391255
39,21.92097196019688
