,valuation coefficient
0,16.926684279941504
1,11.623535641019368
2,23.780268708684837
3,13.644855365120522
4,11.474805692547681
5,16.04959261614628
6,28.15217658817458
7,20.65885453587285
8,18.322595506625717
9,21.96332346832665
10,15.349076918010464
11,21.448113725936487
12,22.774194312401665
13,24.260385090060133
14,187.5008544656839
15,19.572881965494588
16,9.440181297447321
17,22.142391227282587
18,20.631702529001597
19,9.491662809864206
20,180.45439732089017
21,11.584965520968224
22,185.01143905640052
23,10.919727091674929
24,20.570666955000135
25,8.739285826920918
26,17.30723804811332
27,10.661242184048433
28,180.05425023476232
29,20.839376303619204
30,29.781226124083602
31,16.386776287161975
32,26.390952832771283
33,21.271051633840152
34,9.276715636742413
35,27.431088161574408
36,20.172192679321572
37,22.860867292114886
38,13.521023709359337
39,12.9160552249682
