task_Number,endpoints_location,bandwidth_demand
0,"[7, 11, 6]","[0.15658007664071538, 0.4866745946028338, 0.9564631975265021]"
1,"[11, 10, 6, 8]","[1.4760425874269718, 2.303661268398584, 1.2115870123260164, 1.5970446461790757]"
2,[9],[0.10179206054432177]
3,"[6, 11, 10, 9]","[1.7361223506692576, 0.22029811934012156, 0.15610363965607432, 0.8494661417402174]"
4,"[7, 10, 6]","[1.3571125715117465, 2.4778940447415163, 0.4817297817263526]"
5,"[10, 7, 9]","[0.8947428659988206, 0.04465355528229531, 0.5852353655945336]"
6,"[7, 9]","[0.12969504543892607, 0.4933567803684762]"
7,[10],[1.4040508568145385]
8,"[8, 6, 7, 11]","[2.0049868807026323, 0.5582339767739871, 0.9158349148188226, 2.2370160729364614]"
9,"[9, 8]","[0.38093063964504004, 1.35615983038938]"
10,"[8, 7, 10, 9]","[1.0996513650876412, 0.4965243458838008, 1.0685629748060272, 1.4735924306351815]"
11,"[6, 11, 9, 10]","[1.6771860655820996, 2.8723191173207203, 1.396373940064442, 0.3743837047670683]"
12,"[8, 11]","[0.3986027544282734, 0.1533856431352033]"
13,"[10, 8]","[1.2322536971610036, 1.2930724732986811]"
14,"[6, 9]","[0.6166766937340966, 0.5374731397982478]"
15,"[10, 6]","[1.3158909071523157, 1.0592812840531958]"
16,"[9, 6]","[3.720169166589619, 1.625667347765006]"
17,"[10, 8, 11, 9]","[1.606975709568625, 0.6510988172272485, 1.6061293630990847, 1.3363987637862524]"
18,"[7, 6]","[1.7101092403639537, 1.092478871551097]"
19,[6],[2.083051243175277]
20,"[11, 7, 8]","[1.023931814465837, 1.8719139888123928, 2.437356328333527]"
21,"[6, 7]","[1.149833716339598, 1.1409073680713218]"
22,"[6, 9]","[0.26963336828286333, 1.2164585895819748]"
23,"[8, 9, 11, 6]","[1.4420740168667314, 2.048019743994952, 0.3714302525242935, 0.5555012557808173]"
24,"[8, 11]","[1.157201855097078, 0.8845265900762673]"
25,"[7, 8]","[2.8437157977518464, 0.26925859677034647]"
26,"[11, 6]","[0.9404746439381999, 0.7474318486068396]"
27,"[10, 7, 11, 6]","[1.084163521007921, 1.9726328668987914, 2.5444748387077922, 1.3440681314020224]"
28,"[9, 11]","[1.686848512765971, 1.070972415639746]"
29,"[8, 10, 7]","[0.5069990653411671, 0.41063524305578847, 1.8496020970210245]"
30,"[11, 8, 6, 9]","[2.870423897815517, 2.688017032368915, 0.38475478423050946, 1.3827994671507864]"
31,"[6, 8, 9]","[1.6328524373827114, 0.9234679386484536, 0.4103471433128344]"
32,"[8, 6, 7, 11]","[2.9123176398399706, 2.065227082546918, 0.5532264882100923, 2.204922921778574]"
33,"[11, 8]","[1.4960642332258751, 1.055572156943967]"
34,"[7, 9, 10]","[2.1543543384089237, 0.5226182694246793, 0.33577255669557726]"
35,"[11, 9, 7, 10]","[2.4437472096857613, 1.8519444675646848, 1.768339454305004, 1.5546927942236286]"
36,[7],[1.457676454428839]
37,"[7, 10]","[0.22699021614453352, 1.0245101742589426]"
38,"[10, 8, 9, 11]","[0.8890680643704898, 1.9763091264811026, 1.7840064109141682, 0.8422760417458965]"
39,[9],[0.5964450431530891]
