task_Number,endpoints_location,bandwidth_demand
0,"[10, 6, 7]","[2.5503245823272165, 1.055876711964435, 1.3843802304271215]"
1,[9],[0.3232933619685102]
2,[6],[0.5780595827599404]
3,"[11, 10]","[0.9451084523665554, 1.6033006807311254]"
4,"[10, 7]","[2.2324662683562426, 0.23768207074317782]"
5,"[11, 9, 7, 8]","[1.715824598461887, 1.3697795964890533, 0.8056153720057745, 2.1163043262098595]"
6,[9],[1.5060778375374786]
7,"[11, 7, 6]","[0.9671804050990633, 2.69214375450382, 0.9462919979204825]"
8,"[11, 7]","[1.8588173265246706, 1.4302921116605019]"
9,"[7, 11, 10, 8]","[1.1625425035188421, 0.9997958922311496, 0.6064556925264872, 2.914281330845303]"
10,"[9, 11]","[3.932546492037449, 0.6866480265545578]"
11,"[8, 7, 6, 9]","[1.3940880692903268, 0.6434486004477922, 1.0877381608841332, 0.4973521566075032]"
12,"[11, 8, 6]","[1.5571240435027414, 0.05354468391192824, 0.4031926969497045]"
13,"[10, 6]","[0.3144480568481367, 1.7099794399533566]"
14,[11],[0.4364103664470177]
15,"[6, 9, 8, 7]","[0.21759992654816995, 1.0078320160973435, 0.40654287039983883, 0.7756521931658469]"
16,"[11, 9, 10]","[0.5980191157765244, 0.6849741174711161, 0.6165691712360903]"
17,"[11, 7, 6, 10]","[0.7877273846250232, 0.7333769307684694, 1.2066219583879523, 0.41176541622468765]"
18,[7],[0.8397487360232694]
19,"[10, 9, 11, 8]","[0.7513132385601482, 0.9259255203043247, 0.6465616499351663, 1.7728064792339053]"
20,[10],[0.6477449177456747]
21,"[7, 6, 10]","[0.7629740896790774, 3.1061111998692055, 0.6106040543112476]"
22,"[6, 7, 11]","[0.9741573911060808, 1.1867169940725641, 1.7941881314180135]"
23,"[6, 9, 7]","[1.6510403865009942, 1.5745818480329188, 3.7417097357448243]"
24,"[8, 10, 6]","[1.0703536221628185, 0.7170893079375007, 1.5043604560315513]"
25,"[10, 8, 6, 7]","[1.609642674197493, 0.9690052731890364, 1.6080524558825795, 3.7859522449494047]"
26,"[6, 9, 10, 8]","[0.41338182500284415, 0.450282254590161, 0.9333727695787326, 0.7001136995359949]"
27,"[6, 11]","[2.5207750183072237, 2.106375627037352]"
28,[8],[0.2123156391716734]
29,"[6, 7, 11]","[0.4218802021486431, 0.7715265189458868, 0.8274101773423774]"
30,"[7, 8]","[1.0990115909659046, 0.5245865377653014]"
31,[8],[0.7423635586215627]
32,"[10, 9]","[0.6898285563120494, 1.0035639590145486]"
33,"[8, 10, 9]","[1.5639341884800817, 1.3296575096259848, 0.7422634860879129]"
34,[10],[0.914393731186272]
35,"[9, 6]","[1.1359966865626434, 0.908856457234706]"
36,"[6, 7]","[0.26247275778819956, 0.49854850300609677]"
37,"[10, 6, 11, 8]","[1.5934607540129568, 2.381908412915818, 1.8716736246995767, 1.6842672994086632]"
38,"[11, 9, 6, 8]","[0.7793144461916339, 2.659064765771297, 2.966541387586989, 0.6078568456838731]"
39,[7],[1.7320266703077731]
