task_Number,endpoints_location,bandwidth_demand
0,"[10, 7, 11, 6]","[0.11098137108495731, 0.702998574569066, 0.5673837727969558, 1.5614629446405588]"
1,"[11, 9, 10, 6]","[3.644298237741566, 2.122017723642407, 2.418476939541227, 1.693266898551414]"
2,[8],[1.9371163813168322]
3,"[11, 9]","[2.5403142616912193, 0.8158790704712716]"
4,"[7, 9, 10]","[1.2566607063973478, 1.639156686411531, 0.9302373442183509]"
5,"[11, 8, 10]","[1.8174749439981221, 0.23173564791326473, 2.455615508764243]"
6,[11],[1.5296779118557815]
7,"[8, 11, 7]","[2.9191019020662643, 3.2703563142104852, 0.2098073039461209]"
8,"[6, 10]","[0.9844660204456837, 2.7754293908783696]"
9,"[7, 9, 10, 11]","[1.189940495496156, 0.11692857978693472, 2.1368202687580715, 0.8334797567074095]"
10,"[11, 6, 10, 8]","[0.1299012155274989, 1.2592247023530438, 2.117257478285661, 0.5497552427661614]"
11,"[7, 8, 9]","[2.213587883274217, 1.589668897812512, 3.062599441888866]"
12,"[10, 7, 11, 8]","[0.7310042033743357, 2.1579370682455776, 1.0067396751245121, 1.1614939486870388]"
13,[7],[1.2548205611064458]
14,"[7, 10, 8]","[3.4307084186062924, 1.6916014294160673, 0.544598352792925]"
15,"[8, 10]","[0.1819131134273697, 0.8955176450895286]"
16,"[6, 11, 10, 9]","[0.7794274262807825, 1.5984771188101496, 0.5337400867662256, 0.2836395557985134]"
17,"[9, 10]","[2.396786494487523, 2.0570097762339636]"
18,[7],[1.8182370292607328]
19,"[10, 11, 6]","[0.29565476409849123, 0.05992732241836396, 0.18514710997915518]"
20,"[11, 8, 6, 7]","[1.7667193805086123, 0.7474784469262186, 0.8610719150355953, 0.8630445798656057]"
21,"[7, 9, 8]","[0.6743709563210842, 0.17384445357264278, 2.9459087159553836]"
22,"[9, 6, 10]","[0.16054127690217412, 2.8068648660438877, 2.3707105959547734]"
23,"[7, 9, 11]","[0.6634826554373492, 1.2796348212471014, 0.03896565948811326]"
24,"[11, 6, 9, 7]","[0.5129811756713216, 0.768478084757288, 0.5794693724191147, 0.32631567104964065]"
25,"[8, 7, 11, 10]","[1.7189647208557113, 2.142754118394598, 0.8647408653101214, 1.4057747626967576]"
26,"[10, 8, 11]","[0.9584126748133407, 0.17317530682775906, 1.8146422633586352]"
27,"[8, 7]","[2.1265026261142914, 0.9583720042114611]"
28,[10],[0.7748554592099552]
29,"[6, 10, 8]","[2.107346048543506, 1.9128485196047555, 0.04177301186603333]"
30,[10],[1.179783040966694]
31,"[9, 6, 7, 8]","[1.290865077547525, 1.759896204381088, 1.465602497675063, 0.8381814530843237]"
32,"[10, 6, 11]","[1.830505603143186, 0.7831529127561018, 0.7627726052288823]"
33,[6],[1.5216729329082688]
34,"[11, 8, 10]","[1.307205882979997, 0.9578492219370833, 1.9188632267691488]"
35,[9],[0.6112169117233206]
36,"[7, 11, 10, 6]","[0.48307932790571084, 0.8922257806478007, 1.8215358350529485, 0.025908366998036225]"
37,[10],[0.7060797131016037]
38,"[11, 9, 8, 10]","[0.639948226299001, 1.105555358841087, 1.115920706921624, 1.4006149883132637]"
39,"[9, 11, 7, 6]","[2.3712622597078257, 0.5667535094787, 1.2918034444481925, 1.9600107890875578]"
