data_link, bandwidth_capacity
"(1, 2)",6.523344598339397
"(3, 2)",6.523344598339397
"(8, 2)",6.523344598339397
"(4, 10)",6.523344598339397
"(7, 1)",6.523344598339397
"(3, 0)",6.523344598339397
"(2, 8)",6.523344598339397
"(9, 3)",6.523344598339397
"(6, 0)",6.523344598339397
"(2, 1)",6.523344598339397
"(3, 9)",6.523344598339397
"(0, 5)",6.523344598339397
"(1, 4)",6.523344598339397
"(5, 4)",6.523344598339397
"(3, 4)",6.523344598339397
"(2, 5)",6.523344598339397
"(1, 0)",6.523344598339397
"(10, 4)",6.523344598339397
"(0, 1)",6.523344598339397
"(0, 3)",6.523344598339397
"(11, 5)",6.523344598339397
"(4, 1)",6.523344598339397
"(4, 3)",6.523344598339397
"(5, 11)",6.523344598339397
"(0, 6)",6.523344598339397
"(5, 0)",6.523344598339397
"(1, 7)",6.523344598339397
"(4, 5)",6.523344598339397
"(2, 3)",6.523344598339397
"(5, 2)",6.523344598339397
