task_Number,endpoints_location,bandwidth_demand
0,"[6, 11, 7, 8]","[2.930430941718021, 3.007005016950107, 0.28199693695081285, 0.31072890038298884]"
1,[10],[1.0224430194812684]
2,"[9, 8, 10, 6]","[1.141150823060729, 0.796404504981325, 0.3478496267938167, 2.1547458996095146]"
3,[8],[1.5040141562590215]
4,"[9, 7]","[1.8553974471602257, 1.1345892349772366]"
5,[11],[0.5882939319674634]
6,"[9, 10, 6]","[0.43389979384204314, 1.1625832362537916, 0.9445841577337216]"
7,[7],[0.8657806162368524]
8,"[10, 11]","[2.5327454886549594, 1.0426861850071578]"
9,"[11, 8, 6, 7]","[1.4524009425703441, 0.6905374340263339, 1.0907969639397879, 1.2702665890217555]"
10,"[8, 6]","[1.531483612134858, 1.2169862104697227]"
11,"[8, 9, 11, 7]","[0.7893730269216461, 1.6661579242398656, 0.20375175165399817, 0.004580175628550731]"
12,"[11, 6]","[2.016779332460878, 0.7492411655805313]"
13,"[7, 8]","[1.050802818961384, 2.9030341506208144]"
14,"[6, 11, 7, 8]","[2.2661033713057988, 1.413563343114054, 0.6266232106903513, 0.6798337061826492]"
15,"[8, 9, 7]","[0.2810593104631782, 2.6888375290256112, 1.2942177125667933]"
16,"[10, 11]","[1.8306512342201906, 2.0805944640429175]"
17,"[11, 10]","[1.7941032575455855, 0.4957330174871306]"
18,[6],[2.572320353736086]
19,[11],[0.5271726287052867]
20,"[8, 7]","[2.690895828661069, 1.4902813654815046]"
21,"[10, 9, 8]","[0.8044308851588671, 1.3050444880944654, 0.7250159473020459]"
22,[8],[0.04393053926406987]
23,"[10, 6]","[0.07469756812769157, 2.093919774318388]"
24,"[6, 10]","[0.2484342306194468, 1.556252611654712]"
25,"[11, 10]","[2.5753727908318798, 1.3402184433971445]"
26,"[7, 6, 8, 11]","[1.5172862527377489, 1.558731577288917, 2.1186287281139644, 1.6878383312199197]"
27,"[11, 7, 9]","[0.40369303621779573, 1.2700940352982295, 1.3863641659003192]"
28,"[9, 7, 10]","[1.5324646569601985, 0.2154164537031633, 0.7188729858655394]"
29,"[10, 7]","[0.44982238940189034, 0.5257484435309214]"
30,"[11, 10]","[0.3246092484944798, 1.9921150326045174]"
31,[6],[0.9508676436707659]
32,"[7, 11, 6]","[1.171911118114364, 1.069020213069708, 1.371384920306431]"
33,[11],[0.4889497656840537]
34,"[8, 10]","[0.5032814447715863, 0.8871845967453519]"
35,"[11, 10]","[0.6145249152953729, 2.301584106721785]"
36,"[10, 8, 11]","[0.3666812717952993, 0.8496810585212846, 0.18853999257261145]"
37,"[9, 10, 11, 7]","[2.731284477276827, 3.3156945779464935, 1.3025343877748934, 0.5786892751084955]"
38,"[7, 9, 6]","[3.0446955530097477, 1.8761428532086166, 1.439729401395174]"
39,"[7, 9, 10, 6]","[0.49495353361573446, 1.2637771424258195, 0.5179648434699435, 1.4257097656248134]"
