,valuation coefficient
0,28.966017878993803
1,21.211189390822717
2,21.469264541729714
3,16.929802913897436
4,21.760235520858078
5,23.68100608616372
6,14.579920518643952
7,26.84406235553431
8,23.427524486816473
9,26.360941218300987
10,8.040634089490025
11,15.873235609516696
12,22.00080498928468
13,25.20786831607878
14,27.583961858149213
15,13.673539856259929
16,187.66321586380928
17,9.534249968520736
18,198.40241658079552
19,10.43456438007686
20,19.633341144472652
21,10.878749472548071
22,22.652213303228738
23,19.29144086092067
24,14.163270179567448
25,26.37024428782365
26,8.295990022941345
27,8.033339805273785
28,183.8250446911245
29,17.84932856036808
30,187.22424627204984
31,23.145804803329277
32,10.048123997477319
33,19.035136684688947
34,29.814341999461675
35,10.3460740679288
36,11.433286422432351
37,27.474440627478298
38,16.80769483342862
39,20.05301468708469
