task_Number,endpoints_location,bandwidth_demand
0,[6],[1.6122093320945388]
1,"[11, 10, 9, 8]","[0.12265093941649519, 0.9798274009173044, 0.6187886784711636, 0.8602614679515501]"
2,"[11, 8]","[1.6589794089499126, 0.13563493967216667]"
3,"[6, 8, 11]","[1.4472786663404729, 4.311029283092613, 2.1838940644824447]"
4,"[8, 11, 9]","[2.022449559049572, 0.2532047062500389, 0.8040928574683717]"
5,"[11, 8, 9, 7]","[1.8539477913820583, 1.1365132023595759, 0.7767303381432844, 0.517053522190585]"
6,"[9, 6, 11]","[1.2623794613942119, 1.2327873384839683, 2.369771897931465]"
7,[10],[0.8132582472494011]
8,"[10, 9, 7]","[2.336886110432717, 0.8056822984108403, 2.0134288989707905]"
9,"[7, 11, 10, 9]","[1.7473008478583005, 2.4992152124495934, 2.1505738462014667, 0.41968619011337505]"
10,"[9, 10, 7]","[1.0809029030184472, 0.7501011308441927, 0.9469009466907506]"
11,"[9, 6]","[0.045545993955440345, 0.36346026583667634]"
12,"[8, 10]","[0.49119956083340066, 0.7351946401990903]"
13,"[11, 6, 10, 9]","[0.721886971477028, 0.2568015584581901, 0.06351921169709751, 2.4518366937893616]"
14,"[8, 11, 7]","[0.7502142458318011, 1.4971684900506015, 0.9308501314177714]"
15,[6],[2.1648636306038105]
16,"[6, 9, 11]","[2.206466743474567, 0.7205600607038853, 0.5533589731683553]"
17,[8],[1.8560554991339449]
18,[8],[1.7765405114369164]
19,[10],[2.2370088469983562]
20,[11],[0.041374036685848825]
21,"[6, 9, 8]","[1.2041880250887957, 1.5057195530274399, 1.043102747152969]"
22,[8],[1.0244152542254068]
23,"[10, 7, 11, 9]","[1.4767406715675224, 2.381978886083602, 1.8803502916990222, 2.164619053840342]"
24,"[11, 6]","[1.1176271754921874, 0.7571242569737673]"
25,"[6, 8, 10]","[1.0957081271895477, 0.8645958345967432, 0.3765669937655207]"
26,"[9, 8]","[1.6077029875062598, 2.3636030722438646]"
27,"[6, 10]","[0.5432964843401034, 0.4480610473069806]"
28,"[7, 10]","[1.4396586452673832, 1.5568887317581384]"
29,[10],[0.7564603261316725]
30,[9],[0.6292017444418903]
31,"[6, 8, 10, 11]","[1.0064214328075392, 0.5225620430407092, 2.293210142501339, 1.8676478728937955]"
32,[8],[0.8396846301090433]
33,"[8, 9, 10]","[1.5068224168365616, 0.9743135154601661, 1.7111219515951561]"
34,"[11, 9, 6, 7]","[0.7991578081604139, 1.1438721094050712, 1.743005697065634, 0.14871733191239656]"
35,"[8, 11]","[0.41212088129738866, 1.5737193649485186]"
36,"[10, 11]","[1.217441845476168, 2.7082158626982547]"
37,[9],[1.9217888213949315]
38,[8],[0.5977441310256213]
39,[6],[0.8061853160764652]
