,arrive_time,finish_time,start_time,usage_time
0,0.0988588704044846,9,1,2
1,0.3216278237427883,5,1,1
2,0.32698916996040883,7,2,1
3,0.8992219468395357,8,1,3
4,1.1368718051581506,9,3,2
5,1.6639557693170037,9,3,1
6,1.7515452332402304,7,2,2
7,2.228194621828611,9,3,2
8,2.278064700072908,9,4,1
9,2.297124466819407,11,4,3
10,3.073339388651708,11,5,3
11,3.125660398030068,10,4,2
12,3.290459600702195,11,5,2
13,3.8796554616141785,10,4,2
14,4.1143559913670025,11,6,1
15,4.303030323852459,11,6,1
16,4.56841488338081,11,6,2
17,4.85621058895065,11,5,2
18,5.071496882130802,11,6,2
19,5.283413801522395,11,6,3
20,5.358463408907211,11,6,1
21,5.814457429409481,11,6,2
22,5.955290715226488,11,6,3
23,6.46010459752285,11,7,3
24,6.475510493530234,11,8,1
25,6.999911906674879,11,8,2
26,7.039333307539993,11,9,3
27,7.142971018711349,11,8,3
28,7.173383820914008,11,8,2
29,7.678801847991905,11,8,3
30,7.994977507603719,11,9,2
31,8.502002678549266,11,10,2
32,8.656629130665072,11,10,1
33,8.768355919487753,11,9,1
34,8.962852040098879,11,9,1
35,9.049394086065416,11,10,1
36,9.061555116107034,11,10,2
37,9.287384315385623,11,11,1
38,9.663074660877117,11,10,1
39,9.786439615854988,11,11,1
