data_link, bandwidth_capacity
"(1, 2)",4.905944102050321
"(3, 2)",4.905944102050321
"(8, 2)",4.905944102050321
"(4, 10)",4.905944102050321
"(7, 1)",4.905944102050321
"(3, 0)",4.905944102050321
"(2, 8)",4.905944102050321
"(9, 3)",4.905944102050321
"(6, 0)",4.905944102050321
"(2, 1)",4.905944102050321
"(3, 9)",4.905944102050321
"(0, 5)",4.905944102050321
"(1, 4)",4.905944102050321
"(5, 4)",4.905944102050321
"(3, 4)",4.905944102050321
"(2, 5)",4.905944102050321
"(1, 0)",4.905944102050321
"(10, 4)",4.905944102050321
"(0, 1)",4.905944102050321
"(0, 3)",4.905944102050321
"(11, 5)",4.905944102050321
"(4, 1)",4.905944102050321
"(4, 3)",4.905944102050321
"(5, 11)",4.905944102050321
"(0, 6)",4.905944102050321
"(5, 0)",4.905944102050321
"(1, 7)",4.905944102050321
"(4, 5)",4.905944102050321
"(2, 3)",4.905944102050321
"(5, 2)",4.905944102050321
