task_Number,endpoints_location,bandwidth_demand
0,"[11, 6]","[1.080315929852738, 0.37043595190083434]"
1,"[9, 6, 10]","[0.14922101470007365, 0.3966472602686597, 0.09414822755038565]"
2,"[11, 7, 8]","[2.9179504418012376, 0.8008549924681575, 0.6447429521651126]"
3,"[6, 8]","[0.22217420139934052, 0.7800914311667992]"
4,[11],[2.250901210001899]
5,"[10, 6, 7]","[0.6493322681714719, 1.468739459442208, 1.600188752922346]"
6,"[11, 7]","[0.7266180560138885, 1.4531187124991205]"
7,"[8, 7]","[1.4316021820624392, 2.2953014208810787]"
8,[8],[1.7357868037096367]
9,"[10, 6]","[2.20744066339646, 0.9023911260145462]"
10,"[6, 10, 7, 11]","[1.0737259968049302, 0.6978044293550554, 2.2221897574897715, 2.6430834707076913]"
11,"[10, 11, 9, 7]","[0.9534566460136579, 0.8912324417466068, 1.0843655834923565, 1.937809477676]"
12,[11],[0.8784530572737967]
13,"[8, 9, 7]","[1.2024342098920116, 1.428326652802162, 2.08154874173581]"
14,"[6, 11, 10, 7]","[1.3139803938734371, 0.6548625397021812, 1.6352083457831388, 1.9148129493462798]"
15,[10],[1.8928244366610483]
16,[8],[0.3559458306169897]
17,[6],[2.5747408869726476]
18,[6],[0.12586075791471263]
19,"[10, 7]","[1.2614948465877616, 1.8697907355828005]"
20,"[10, 6, 9]","[0.22062953413937536, 0.8587247675914955, 2.6934922094376104]"
21,[9],[3.0488337524287825]
22,"[6, 8, 11]","[1.5115378224892315, 1.6702164808225684, 1.5811474653355533]"
23,"[8, 6, 11, 7]","[0.6354472710198542, 0.9153341470216725, 3.533314437021627, 2.3939407301059976]"
24,"[6, 8, 11, 9]","[1.5703143487195832, 1.1749233689716223, 0.8385866985767942, 0.38587199913553416]"
25,"[10, 7, 9, 8]","[1.4356959548292247, 2.3710828657290017, 1.3879076322644543, 0.34180461043248256]"
26,[9],[2.0657914774528816]
27,[7],[2.1935766857884182]
28,"[11, 6, 8, 10]","[0.7218402312642436, 1.1968553456297668, 1.0270655720249404, 0.1664142528870276]"
29,"[9, 8, 7, 11]","[1.0642147885548, 0.08641821795343918, 2.0016623287998123, 1.1954867986879345]"
30,"[9, 6]","[1.482008103928964, 2.9228849870804012]"
31,"[9, 7, 8, 6]","[1.6877938524019953, 0.8955779121329991, 1.6457915842608408, 1.0401200852255976]"
32,"[7, 8]","[1.1552542694851375, 1.311734020011716]"
33,"[6, 9, 7, 11]","[0.16095756147592533, 0.8569130912813421, 2.13417509207857, 1.5276791981265276]"
34,"[6, 9, 7]","[3.899970321109566, 2.0961430116150925, 1.6740304543702953]"
35,"[9, 8]","[0.6575258896476259, 0.76700376366156]"
36,"[10, 11, 8, 6]","[2.01597824412499, 2.7975708368095065, 1.0932418856241712, 1.6636410536174795]"
37,[10],[1.049334962551471]
38,[9],[1.524333973735267]
39,[6],[0.057944308023283986]
