task_Number,endpoints_location,bandwidth_demand
0,"[11, 8, 10]","[1.1523946211813068, 2.8466415021108014, 1.139016655522152]"
1,"[10, 7, 6]","[0.6184835182349138, 1.066489009146145, 2.5844870563956763]"
2,"[10, 7, 9, 8]","[0.2998523463475926, 1.6321917674250486, 2.816696973487513, 0.0011102264113778126]"
3,[9],[1.204207978914112]
4,"[11, 10, 8, 9]","[1.8107058845072106, 3.2691121075407343, 1.8409926237787668, 1.424977984446207]"
5,[9],[0.28074615857332275]
6,"[10, 8, 6]","[1.3634450030361356, 1.2316082786385656, 0.29380519772471536]"
7,"[6, 8, 9]","[2.1233267416312325, 1.5751099598816425, 0.4854259974002456]"
8,[8],[0.7634177200422666]
9,[9],[4.279745401111399]
10,"[9, 10, 7]","[1.3375102728079629, 2.0286879130024795, 0.1032424088147128]"
11,"[10, 7, 11]","[2.2716795204197315, 1.6361934642700262, 2.115805162784121]"
12,[7],[1.9046755383460336]
13,"[6, 7, 8]","[1.3965201586867086, 0.685382564344069, 0.406244417117393]"
14,[7],[0.1851036118569548]
15,"[7, 10]","[0.6870242639894575, 1.4885906746219557]"
16,"[10, 8, 7]","[0.5355383906110132, 1.3206773952199014, 0.8612242327504243]"
17,"[9, 11]","[1.2473533248139164, 0.526895406588565]"
18,"[11, 10, 8]","[0.15317124805810656, 1.060462449002912, 2.1327460759333485]"
19,"[10, 8, 11]","[1.5957546264782678, 1.3709603879868912, 0.37831889099972094]"
20,"[9, 7, 11]","[0.08732677417846024, 0.41076584789483583, 0.4192603428268491]"
21,"[11, 9, 7, 10]","[1.5489465598226189, 0.3816245149123211, 1.3787944657069746, 1.513251444309333]"
22,[8],[1.1022442177929623]
23,"[9, 10, 8]","[0.15000449728493404, 0.1476582033115822, 0.520014888467349]"
24,"[11, 9]","[1.570634223825099, 1.4778658417223287]"
25,[9],[0.9977935545903382]
26,[8],[0.7755687004098193]
27,"[10, 11]","[2.4403199681358583, 1.9041954361621516]"
28,"[11, 9]","[1.1664223786340377, 1.8481388429855166]"
29,"[9, 7, 8]","[1.4247536722752914, 1.8198851165343835, 0.3688813174149038]"
30,"[11, 7]","[0.5869264211977975, 2.086326154860397]"
31,"[10, 8]","[1.3573414509202453, 0.9345512096954057]"
32,"[9, 8]","[0.5655565723493294, 0.3264527768524297]"
33,"[8, 10]","[1.0890517537184101, 1.5322860444669668]"
34,"[10, 11, 9]","[1.0783702655503753, 0.49804843467997384, 0.5580457310684699]"
35,[8],[1.3116977066622209]
36,"[11, 7, 9]","[1.1787007564852736, 1.3830305400575087, 0.9258210429401544]"
37,"[10, 8, 6, 7]","[0.8673315573395823, 1.4304841311134777, 1.1036037118860824, 0.671466992856387]"
38,"[11, 6, 7]","[1.1140538779273588, 1.3098462773847512, 2.548290693962678]"
39,"[11, 6, 10, 8]","[3.306774707497452, 2.04133904823977, 1.9752178772417412, 1.75213466486817]"
