task_Number,endpoints_location,bandwidth_demand
0,[6],[0.7519304298142768]
1,"[9, 10]","[0.9932887990816097, 1.6420699455547814]"
2,[8],[0.3114834468068185]
3,"[8, 7]","[0.9489685357975882, 0.8079970003902197]"
4,"[10, 8, 9, 6]","[1.8908500811921463, 1.4167899468808047, 2.1627509284495323, 0.5776522495880368]"
5,"[10, 11, 9]","[1.1086934975550249, 1.7338962582478885, 2.56011374660876]"
6,"[9, 10, 7, 11]","[0.6061010686978912, 0.9625878988076808, 0.09186926397180284, 1.1603037313387667]"
7,[7],[0.1986051062623133]
8,"[10, 11]","[1.4853524375618212, 1.5506313960841638]"
9,"[8, 9, 11]","[1.6703089785700485, 2.867172567811013, 1.3116001749396171]"
10,"[9, 8]","[0.2694718482999393, 0.21882541306373815]"
11,[6],[0.1921001036843043]
12,"[9, 7, 8, 10]","[2.773624191149644, 2.472448086701987, 1.6509434970707844, 0.6564099631896527]"
13,[8],[1.544727394052106]
14,"[6, 11, 10]","[0.10778211415485028, 0.8746771240882976, 1.444551375385737]"
15,"[11, 10, 7]","[2.17345784466879, 0.6447929186435355, 1.6754722416140648]"
16,"[7, 9]","[1.1026988106500295, 2.537903755645731]"
17,"[6, 10, 11]","[1.4278328562711948, 1.056665377685436, 1.556920819539325]"
18,"[6, 10]","[0.06505508631039325, 1.271344320594808]"
19,[9],[1.387486195529968]
20,"[10, 6, 11]","[0.11504061297952484, 1.4431149389208926, 2.7518304815393115]"
21,"[8, 7, 10]","[0.22462036392248597, 0.12415662902771551, 1.5290307212410872]"
22,[11],[2.2027744810992775]
23,"[11, 10, 6]","[1.4490339526555676, 0.1285677689162621, 0.7390774987927282]"
24,"[9, 6, 7]","[1.5379213140502237, 0.8551533379894052, 1.864159620052219]"
25,"[6, 10, 9]","[1.3501902496076346, 0.8290075574592584, 0.10723812963547041]"
26,"[8, 7, 9]","[1.7402727000588882, 1.3545397758721354, 1.2897699791584278]"
27,"[9, 11]","[1.9488634165503245, 0.08122667904115544]"
28,[9],[2.5316003092630903]
29,"[6, 9]","[0.7262476250009227, 2.170871503252836]"
30,"[6, 11, 9, 8]","[0.27478374648949755, 0.9161023268148583, 2.8687177792172442, 1.4567710682085342]"
31,"[10, 8, 11]","[1.4335109155328358, 0.21055131107589342, 0.5870456887198031]"
32,"[8, 7, 11]","[0.5143621668991607, 2.778777045850913, 1.4319201910501338]"
33,"[6, 8, 10, 9]","[0.959178737116609, 1.6206523521681162, 2.020834533374824, 1.261150387313718]"
34,[7],[1.225211696592265]
35,[9],[0.4153711507414988]
36,[7],[2.564947007245763]
37,"[8, 11]","[1.418794066202237, 2.282483988184894]"
38,[9],[1.246404083663468]
39,"[7, 8, 6, 11]","[0.9354519099596385, 3.1162735731368536, 1.0145524455136816, 2.378456816341836]"
