task_Number,endpoints_location,bandwidth_demand
0,[7],[1.3773701594581595]
1,"[7, 9]","[0.5090873560722122, 1.2618148848996662]"
2,"[9, 6, 7]","[0.7291781697686828, 3.009786678832114, 0.4532047075306185]"
3,[6],[0.2974388056834554]
4,[11],[1.3303674805147214]
5,"[10, 6]","[1.0040585101442847, 1.99532475989796]"
6,"[10, 11, 6, 8]","[0.777051810094024, 1.021062248870041, 0.5702116338092815, 2.4498394661252947]"
7,"[11, 8, 10]","[2.4570220287443547, 0.4137035241467967, 1.87321798282088]"
8,"[9, 6, 8, 10]","[0.8663993222654283, 4.6588981481468625, 1.5298680804582276, 1.0822612933464235]"
9,"[9, 6]","[0.5267457910762539, 1.9343426940147]"
10,"[9, 11, 8, 10]","[0.28528587561351026, 2.054501848913911, 0.6214234221962813, 1.2376911111886528]"
11,"[11, 10]","[1.801759741731325, 1.220118227288868]"
12,"[6, 10, 7]","[2.2266815956770927, 0.8861681455980075, 0.489580456606184]"
13,"[8, 7]","[1.4544392266428812, 1.840325655681923]"
14,"[11, 6]","[0.24421714917100412, 0.7322594109481342]"
15,"[9, 10, 7]","[0.10535896191663985, 1.3380918133565582, 1.444258208640334]"
16,"[9, 10, 11, 7]","[0.4429683760258998, 2.155414088905318, 0.8477521150122023, 0.93873957611691]"
17,"[10, 9, 8]","[2.384729493056838, 2.4608717623460326, 2.661118181346359]"
18,"[7, 8]","[1.5177623157409061, 0.49862604523562426]"
19,[7],[2.0055798151285646]
20,"[8, 7, 10, 9]","[2.1657636029783522, 1.9621697432587641, 1.343577240885811, 1.7428862911689835]"
21,[6],[0.8865181304112951]
22,[11],[0.0995520592989283]
23,[9],[2.1152379158136885]
24,"[6, 11, 7]","[0.8803410317138831, 1.2587109050819105, 2.355302695317034]"
25,"[7, 10, 8]","[1.5132992144592197, 0.003368972900859246, 1.3036950784755061]"
26,"[8, 10]","[0.42341033863062927, 0.4543833935464304]"
27,"[11, 8, 9, 10]","[0.8245645238268966, 1.5530854112399335, 1.0128533589099729, 0.5443249506231825]"
28,[7],[1.7126489157171045]
29,"[11, 9, 10]","[2.466146975395346, 2.201302493660266, 0.9352428747690487]"
30,"[8, 11, 7]","[0.3334089251722524, 1.450679161483951, 0.39473278164120373]"
31,"[9, 11, 8]","[1.4078348522219863, 0.25373360269684264, 1.1023106301237429]"
32,[8],[1.5111294202934042]
33,"[7, 11]","[2.2653250279593724, 1.6778667216336887]"
34,"[6, 9]","[3.142027529502831, 2.690996053088461]"
35,"[10, 8, 9, 11]","[1.1963570101734693, 3.212551459342373, 0.3255175834559588, 0.8740257920516955]"
36,"[8, 11, 9]","[1.0538303088322418, 2.730169323929725, 0.2467230619175238]"
37,"[10, 6, 7, 9]","[0.9557155159484213, 1.2615346024302743, 0.02526544558604238, 1.7012577157103688]"
38,[8],[1.8056472860255754]
39,"[10, 9]","[1.6266029891061788, 1.7040125652649643]"
