task_Number,endpoints_location,bandwidth_demand
0,"[8, 9]","[1.4316517903108639, 2.7663851553386403]"
1,"[8, 9, 10, 11]","[0.40936374635242445, 0.7876976073215055, 1.9572363356584368, 0.2998437009966748]"
2,"[9, 11, 8, 6]","[1.6770661499427328, 0.42956905020700964, 0.7394276608167355, 0.19161942885932404]"
3,"[11, 6, 7, 8]","[0.34013039204058815, 1.991263861902174, 1.8242480817789106, 1.0257032503026486]"
4,"[9, 6, 7]","[0.8898585452620471, 0.6311291113120142, 0.40467338139089304]"
5,"[10, 6]","[1.7018899403885803, 0.5338852543910008]"
6,[11],[0.6668961239130322]
7,"[10, 7, 8]","[1.7764396273236178, 1.6717236299485898, 1.1671669774019695]"
8,"[9, 8]","[1.2469972876290871, 1.188695485199657]"
9,"[6, 7]","[1.457579103986281, 0.793071276296783]"
10,"[7, 9]","[1.4236064022625614, 0.9371813509410344]"
11,[11],[1.6917874981489645]
12,[9],[0.5631050991371358]
13,"[7, 9, 11]","[1.2704598235304343, 0.910210940269133, 2.6499941071414472]"
14,"[9, 7, 6]","[2.9575791914059257, 0.23103725430875732, 1.6112814672953446]"
15,"[8, 9, 10]","[0.6309323262520503, 2.5338247449087596, 0.4899376282000071]"
16,"[8, 9, 10]","[1.3663052430399147, 2.137550181345441, 0.7200965786345563]"
17,"[11, 10, 7]","[1.689767479404353, 1.4982739746329117, 1.2239343226166597]"
18,"[9, 10, 11, 7]","[1.7927645709914815, 0.7873022245024178, 0.5215703176215245, 1.8175371394864666]"
19,"[10, 8, 9]","[2.8974675193744153, 0.9741476466295003, 1.2048329432635128]"
20,"[10, 11, 8]","[1.5223279714457527, 0.6111550213072188, 0.6968385372637853]"
21,"[7, 8]","[1.7929077599375869, 1.2464317096914117]"
22,"[8, 9, 10, 7]","[2.081928318329566, 1.2474027537836805, 2.2149360840350676, 2.904353914030469]"
23,[10],[1.4561572763810233]
24,"[6, 8, 9, 11]","[1.8347375541237183, 0.9485824057927845, 0.685347959037361, 1.7495763128839585]"
25,"[9, 8]","[1.581868999733258, 1.0174210608185161]"
26,"[6, 11, 7]","[1.312336127447828, 2.6357728248481256, 0.5657663660899239]"
27,[8],[2.2782741692217456]
28,"[6, 11]","[1.5806368950112488, 1.1796446625761339]"
29,"[9, 6]","[0.7655916473921336, 3.1586901395220814]"
30,[10],[0.9768653334265897]
31,"[6, 9, 7, 8]","[1.5818165943676377, 0.10049550681115382, 2.3195631263676617, 0.1976566056652065]"
32,[10],[0.31044774271635445]
33,"[8, 11, 6, 9]","[0.6622191079134234, 1.940207442950351, 0.5063861370573286, 1.3185352613844554]"
34,[8],[3.041706029797267]
35,[10],[2.1111632510510296]
36,"[6, 10, 11]","[1.7725062059441279, 0.9987423979687791, 1.1323800296758135]"
37,"[7, 8, 6, 9]","[0.7626829583424312, 1.8827029773226291, 0.9070974735971069, 0.7858728817263172]"
38,"[9, 6, 11]","[2.1699186936092243, 0.34632763811083145, 2.388582173019664]"
39,"[9, 10, 7, 11]","[1.4738552474302928, 2.016191857305527, 1.4165935319517076, 0.3293259422298548]"
