task_Number,endpoints_location,bandwidth_demand
0,"[9, 7, 6, 8]","[2.061741076215494, 1.1935776790960584, 1.9706052300377241, 0.19551443952896186]"
1,[11],[0.7211990051668602]
2,"[8, 6, 7, 9]","[1.0798897532492582, 1.3213817812354691, 1.371805284088761, 1.0229091804855208]"
3,"[6, 8]","[1.270502669829614, 1.9802375591042167]"
4,[10],[0.5646009647934576]
5,[7],[0.16276706784510453]
6,"[10, 9, 6]","[1.5368301446970567, 1.5711164578735595, 0.4170781409853094]"
7,"[10, 6, 8, 7]","[0.6526503963056514, 0.8983192915150411, 3.214669571016764, 0.5775907920248446]"
8,"[9, 7, 10, 6]","[1.0947704108452523, 1.2982707868773622, 3.4960521174703003, 1.345858476466493]"
9,"[10, 11, 6]","[1.8483125348847451, 2.32561460113884, 1.5176479281443145]"
10,"[11, 8, 10, 7]","[1.570051183699588, 1.464790463979157, 2.192322551985068, 1.2880544028798755]"
11,[7],[1.0483354954101023]
12,[9],[0.33175039022639974]
13,[8],[1.1006800407197233]
14,"[11, 10, 7, 9]","[2.0030650227182525, 1.4553312955570585, 1.9321759943625347, 1.9244571984362542]"
15,"[8, 7]","[1.7056026198246514, 1.238300718440542]"
16,"[9, 6]","[0.242386263175711, 2.7959031729212214]"
17,[8],[1.8089766802126803]
18,"[10, 6]","[0.7227146766302612, 0.6642870399204439]"
19,[9],[0.669912866834858]
20,"[8, 10, 11]","[0.6845635029003916, 1.478927589360632, 3.8479994524471453]"
21,"[10, 9]","[2.2004429220357187, 0.6080185196862573]"
22,"[9, 7]","[0.2608331095690235, 3.452492369816018]"
23,[8],[1.498431711140221]
24,[10],[1.8776832457260224]
25,"[8, 9, 6, 7]","[0.6752240602491366, 2.5041688898529846, 1.6328158672477877, 1.3501917974427502]"
26,"[10, 11, 9]","[0.4241085840589287, 2.5600013280631035, 1.7975244987638659]"
27,"[11, 10, 9]","[0.56822573313556, 0.6836830639201741, 2.5533152776792383]"
28,"[6, 11, 9]","[1.8184084173810562, 0.598295128860032, 1.7162487948580476]"
29,"[8, 6]","[1.889921742960873, 0.3779930309397602]"
30,"[9, 11]","[1.0287490300660478, 1.6921616231678205]"
31,"[6, 7, 10]","[0.7150954513702542, 2.4548070640523054, 0.7012574321964324]"
32,"[9, 6]","[2.2959396310309783, 2.469602445984464]"
33,"[6, 9]","[0.44842940849837776, 2.5779259574892794]"
34,"[7, 11, 6]","[0.26896841117044135, 0.9148125571373269, 0.25699729087596157]"
35,"[10, 9]","[0.37965627415633807, 0.2163443532389131]"
36,"[8, 7, 11]","[1.300239298162417, 1.6134555735460974, 0.434753839408188]"
37,"[8, 7, 9]","[0.059024140789751156, 1.184857704500897, 1.148669464805569]"
38,"[6, 11]","[1.0898031441831078, 0.31733818918159473]"
39,"[10, 7, 11]","[1.8638575225288283, 1.3316364030747274, 0.8375677743057123]"
