data_link, bandwidth_capacity
"(1, 2)",5.4278610679542325
"(3, 2)",5.4278610679542325
"(8, 2)",5.4278610679542325
"(4, 10)",5.4278610679542325
"(7, 1)",5.4278610679542325
"(3, 0)",5.4278610679542325
"(2, 8)",5.4278610679542325
"(9, 3)",5.4278610679542325
"(6, 0)",5.4278610679542325
"(2, 1)",5.4278610679542325
"(3, 9)",5.4278610679542325
"(0, 5)",5.4278610679542325
"(1, 4)",5.4278610679542325
"(5, 4)",5.4278610679542325
"(3, 4)",5.4278610679542325
"(2, 5)",5.4278610679542325
"(1, 0)",5.4278610679542325
"(10, 4)",5.4278610679542325
"(0, 1)",5.4278610679542325
"(0, 3)",5.4278610679542325
"(11, 5)",5.4278610679542325
"(4, 1)",5.4278610679542325
"(4, 3)",5.4278610679542325
"(5, 11)",5.4278610679542325
"(0, 6)",5.4278610679542325
"(5, 0)",5.4278610679542325
"(1, 7)",5.4278610679542325
"(4, 5)",5.4278610679542325
"(2, 3)",5.4278610679542325
"(5, 2)",5.4278610679542325
