task_Number,endpoints_location,bandwidth_demand
0,"[8, 11, 10, 9]","[2.6879108490159958, 0.8606413306784865, 1.0529865594334022, 0.9400914733404548]"
1,"[6, 9]","[1.3806401125591112, 0.12041174787912756]"
2,[8],[2.2112317245954776]
3,"[8, 6]","[0.9795787800383214, 2.7807728943430217]"
4,"[9, 11]","[2.0815160917061535, 1.6817444925308518]"
5,"[8, 7]","[0.930558186370664, 1.0115364848314872]"
6,"[8, 6]","[0.6810270029264918, 1.1440614041969983]"
7,"[10, 6, 7]","[0.3852126735069107, 0.8390173777764262, 1.8556422254443428]"
8,"[8, 6, 9]","[1.144186384496077, 2.568910724459772, 0.7171783437574324]"
9,"[7, 11, 9]","[1.3575849714843369, 1.3505249115517222, 2.174977195431517]"
10,"[8, 11, 10]","[2.3641865659453813, 0.49232829084062024, 0.44411232902765474]"
11,[9],[1.6934287861126314]
12,"[8, 10, 11, 9]","[1.4272637997702895, 0.9302211526516785, 1.339059383703911, 1.159747950401787]"
13,"[11, 7, 8]","[2.622587441563554, 0.80710758816591, 1.5300953572858278]"
14,[9],[1.1246734331692019]
15,"[9, 7, 10]","[0.9924040807237239, 1.1292225411325794, 1.2005429270511534]"
16,[7],[1.2814910862457372]
17,"[6, 10, 8, 7]","[0.6489375394063894, 0.6507359596875631, 1.9333422717410258, 1.5357022228783612]"
18,"[6, 10, 9, 11]","[0.9269403418267088, 1.3842612602564301, 2.802950652116261, 1.5549791467386505]"
19,"[8, 6, 9, 10]","[1.0800344384898724, 0.8571977903474939, 3.363834148422354, 0.5274453218027968]"
20,"[6, 9]","[0.6589233223791946, 0.9336811414040713]"
21,[8],[2.6303987300919873]
22,[11],[0.8041417239861965]
23,[6],[1.2396497774488473]
24,"[9, 7]","[0.8258044654144143, 2.46098595079987]"
25,[6],[1.1606192701128748]
26,"[10, 8, 11]","[0.792472569537028, 1.8639824285205684, 1.9118545432614993]"
27,[6],[1.4996559898062263]
28,"[9, 8]","[1.8040999014049635, 1.5124654462678135]"
29,"[9, 11, 7]","[1.2839864507602483, 1.0136765866623663, 0.4862618218661747]"
30,"[7, 6]","[1.2619039210338139, 2.6563099028170196]"
31,[9],[0.19040943802572274]
32,[9],[0.1934804672083712]
33,[6],[1.6475333213049599]
34,[11],[0.05829131952143729]
35,"[8, 9, 10]","[1.3372157603791632, 1.0811823286021034, 2.387696655940055]"
36,"[6, 8, 7]","[1.3935055880543068, 0.6800523059511211, 0.3176414592126906]"
37,[11],[1.1984238154602995]
38,"[8, 7, 9, 10]","[0.7720817035097544, 0.16251710571167488, 0.3862722812924162, 1.7134478418868713]"
39,[6],[1.9224152598031898]
