task_Number,endpoints_location,bandwidth_demand
0,"[7, 6, 9, 11]","[1.1759792817712926, 1.5902693156563945, 0.6456968060017596, 1.3872249906811729]"
1,"[6, 9]","[1.625558820050657, 2.143487425505254]"
2,"[8, 11]","[2.108211610859102, 0.18199146166542512]"
3,"[6, 10, 7]","[1.6928985838888138, 1.59875080635903, 2.024137562953172]"
4,[6],[0.3208395746412508]
5,[8],[1.3044404782161925]
6,"[8, 10, 6]","[2.822622458733516, 0.1808709585900583, 0.011334154423292442]"
7,"[7, 10]","[0.40310260180672186, 2.9850673182820824]"
8,[6],[1.3114189451915683]
9,[6],[2.108807377612113]
10,"[8, 11, 6]","[1.559559269007108, 1.8868495007154578, 0.6869680773821782]"
11,"[9, 7]","[0.6770696470691511, 0.4668485235020505]"
12,[10],[0.598872753243769]
13,"[11, 8]","[0.9967215691031381, 1.4482616141679212]"
14,"[8, 9]","[1.6557071344406005, 1.3582664458523765]"
15,"[8, 7]","[0.567428099402318, 1.0592106582474328]"
16,"[7, 9]","[1.6880683948443203, 1.3821499181976282]"
17,"[10, 7, 11]","[2.1669898191236627, 1.1803589775554633, 2.991270362016724]"
18,"[10, 9]","[0.8307236158562404, 1.6151893575233132]"
19,"[10, 9, 7, 6]","[0.05018752180841257, 2.345528319877823, 0.6438458858764147, 2.1787776325514248]"
20,"[11, 6]","[0.11507013977858316, 0.6462741358607659]"
21,[10],[0.08587932419131805]
22,[11],[1.3557867711022116]
23,[11],[0.9202669898090897]
24,"[6, 9, 8, 7]","[2.301686086868228, 1.8041087359363055, 0.5775810022544016, 1.862808172576842]"
25,"[6, 10, 8]","[0.5099492394899854, 0.008923448041100235, 2.121592239404296]"
26,"[7, 11, 9, 10]","[1.253870992838824, 1.924368657770538, 1.4311433787186902, 0.2894362760474859]"
27,[9],[1.3120873012335093]
28,"[6, 10]","[0.6375502262361025, 0.6635024635385474]"
29,[11],[2.2302575482564957]
30,"[9, 11, 10]","[0.7051507135135702, 0.2199948696251507, 0.927460924244958]"
31,"[8, 7, 9, 10]","[0.2616168390542817, 1.5820583092902956, 0.6564484814679741, 1.058362055095226]"
32,"[7, 11, 10, 9]","[0.30227533771041637, 1.8354887254215788, 0.1558833715127298, 0.5703687078285004]"
33,"[8, 6, 11, 9]","[0.5780666642356294, 1.3943320372942145, 1.0224501872354093, 2.8415050666629877]"
34,"[6, 10, 8]","[1.7263586922005425, 1.3209088830900253, 0.9585677977834016]"
35,"[9, 7]","[2.544758713073197, 3.584912509325336]"
36,"[9, 8]","[2.3101265787941285, 0.4058188325925415]"
37,"[10, 8]","[0.7544361307272439, 1.8182103641111955]"
38,"[11, 10]","[1.7566989004953668, 1.1715863265997155]"
39,"[9, 6, 10, 8]","[1.2592624243386836, 1.7575834081682549, 2.3074015783751243, 0.4999212167398307]"
