data_link, bandwidth_capacity
"(1, 2)",4.464747625537525
"(3, 2)",4.464747625537525
"(8, 2)",4.464747625537525
"(4, 10)",4.464747625537525
"(7, 1)",4.464747625537525
"(3, 0)",4.464747625537525
"(2, 8)",4.464747625537525
"(9, 3)",4.464747625537525
"(6, 0)",4.464747625537525
"(2, 1)",4.464747625537525
"(3, 9)",4.464747625537525
"(0, 5)",4.464747625537525
"(1, 4)",4.464747625537525
"(5, 4)",4.464747625537525
"(3, 4)",4.464747625537525
"(2, 5)",4.464747625537525
"(1, 0)",4.464747625537525
"(10, 4)",4.464747625537525
"(0, 1)",4.464747625537525
"(0, 3)",4.464747625537525
"(11, 5)",4.464747625537525
"(4, 1)",4.464747625537525
"(4, 3)",4.464747625537525
"(5, 11)",4.464747625537525
"(0, 6)",4.464747625537525
"(5, 0)",4.464747625537525
"(1, 7)",4.464747625537525
"(4, 5)",4.464747625537525
"(2, 3)",4.464747625537525
"(5, 2)",4.464747625537525
