task_Number,endpoints_location,bandwidth_demand
0,[6],[1.8861441789663704]
1,"[10, 6]","[1.4042236259480858, 1.2241621210651987]"
2,"[6, 11]","[1.3459051143213439, 1.4377861669455232]"
3,"[6, 8]","[1.7649958048200451, 1.392701011595427]"
4,"[9, 10, 7, 11]","[1.1399723974213054, 0.825989758131103, 1.9717522912677348, 2.1086346958755144]"
5,"[7, 11, 6]","[2.7192478089656618, 2.0688710522521547, 0.8773157598327835]"
6,"[8, 10, 6, 11]","[0.00414240612824468, 1.426164124262121, 2.2562259340599695, 1.282002222136752]"
7,"[8, 10]","[0.6785286043150315, 1.1638548252519825]"
8,[8],[1.2727930274846884]
9,[9],[1.20617479239538]
10,"[8, 11]","[0.3279921948023774, 1.090112676302621]"
11,"[7, 10]","[1.4216400718998035, 2.00199437601784]"
12,"[11, 9, 6, 10]","[0.28154680099138185, 0.7342066918442127, 0.7142221814720624, 1.6093673007526137]"
13,"[6, 11]","[1.4439978527436694, 2.0702433053946603]"
14,"[6, 11, 7]","[0.4484187312136053, 1.1278486960329286, 0.6272534826702443]"
15,"[9, 11, 6]","[1.32529067098229, 0.7885950064384544, 0.5658925673209239]"
16,"[8, 9, 7]","[0.4099430663638388, 0.8643093435426772, 2.22020473129438]"
17,[10],[0.8869047883703499]
18,[6],[1.7700208818315728]
19,"[7, 11, 8, 9]","[0.9142332553680168, 1.2926153955913517, 1.5754965674265877, 0.1902140646832423]"
20,[11],[0.8402150029668075]
21,"[9, 6]","[2.9027064981866593, 0.9260835514079904]"
22,[11],[0.22308572943408433]
23,"[6, 8, 10]","[1.2328632837289704, 1.168788503637296, 0.8606577407131888]"
24,"[11, 10, 8]","[0.5405515626778772, 0.6206776987805946, 2.012724246514116]"
25,"[10, 7, 8, 9]","[0.04876013603578644, 0.43914206111083676, 0.078694983821329, 0.7008963542181799]"
26,"[10, 6, 8, 7]","[1.1841616596692122, 1.8555002907856233, 1.7929064830371186, 0.5465197362785201]"
27,"[7, 9, 10]","[0.6142035943642605, 0.3213613437084186, 1.3200531455341808]"
28,"[8, 11, 10, 6]","[1.995951786179583, 1.6597549256628987, 1.1477326419942753, 1.7366980686348683]"
29,"[10, 9, 6]","[1.039636296643499, 1.1754788908392884, 0.9977179257681701]"
30,"[7, 9, 11]","[0.762011259888175, 1.6438054015391885, 1.6845711442454436]"
31,"[9, 7, 11]","[0.4737793810946943, 2.3968850307324425, 3.210488768569385]"
32,"[11, 7, 6]","[1.499565700732215, 3.0126616335022085, 0.5352629613186465]"
33,"[7, 9]","[0.36614987018615364, 1.8109494635272916]"
34,"[7, 11, 9, 6]","[0.3661333114399581, 0.5535842187119104, 0.4942814635420252, 1.113579857128002]"
35,"[7, 10]","[1.2765210812455878, 2.260521702094551]"
36,"[8, 10, 9, 6]","[0.21615311558153283, 0.1426825448690171, 0.5962875059724917, 1.7687513671341217]"
37,"[10, 9, 11, 7]","[2.59116110948033, 0.21567353375729093, 0.06576516518199971, 1.0526053672299571]"
38,[6],[1.98037522742678]
39,"[9, 11]","[1.6652073553870421, 1.0989635544875316]"
