task_Number,endpoints_location,bandwidth_demand
0,"[7, 10, 8, 6]","[1.143414254591489, 0.6999252755143968, 1.7778756972229033, 1.2218565302156636]"
1,"[8, 6, 7]","[2.0329434285883416, 2.876049463676363, 0.4576061566820734]"
2,"[11, 9]","[1.1706270041647264, 0.8493330008341312]"
3,"[8, 10, 9]","[0.5784778570880531, 1.2573707398179894, 1.2271610089990288]"
4,"[7, 8]","[1.0540387637625266, 0.5192097512977278]"
5,"[8, 6, 10, 9]","[2.2263772272719446, 1.5840066833872648, 2.9048581742971886, 0.8000113188246578]"
6,[9],[1.7006450790372312]
7,[6],[0.2449425461611383]
8,"[9, 7, 11, 8]","[1.0557902548843292, 0.11664992957250808, 0.43101198188846335, 1.8883443690490271]"
9,"[7, 9]","[1.0477198636765983, 2.3813100905515716]"
10,"[10, 7, 9, 11]","[1.436038430629008, 0.1363464839682078, 0.14665456070333371, 0.49110595705126725]"
11,"[11, 8]","[2.7191362500857545, 0.4913913908974963]"
12,"[9, 11, 10]","[2.3223364606393817, 0.0976925002989325, 1.254975608605402]"
13,"[8, 9, 7]","[1.562751389382294, 2.138660886587579, 2.4672518976572064]"
14,[8],[0.8217376654413391]
15,"[11, 10, 6, 9]","[2.601116002326023, 0.8565811832958626, 1.0229826461913867, 0.8139022047139807]"
16,"[7, 6]","[0.8359124089888963, 1.0353740582966304]"
17,"[7, 8, 9]","[1.5180538160046575, 1.390453195229837, 3.3218574970538612]"
18,"[8, 9]","[1.7752738034953102, 1.5018176792891278]"
19,"[7, 10]","[1.6936279617674113, 0.3056493549777509]"
20,[9],[2.0869256274433674]
21,"[8, 6, 7, 9]","[1.34594817493111, 1.270184919569969, 1.7990067076524143, 0.5199990558596641]"
22,"[9, 8, 6]","[0.37933888990406706, 0.19230270459707, 1.2895066900272192]"
23,"[6, 7]","[1.5215569571647505, 1.377790889687502]"
24,"[9, 8, 11, 10]","[0.23178510574563027, 1.1337636444154318, 0.028549293952183086, 0.8458105252724358]"
25,"[10, 8]","[0.9354169538460156, 0.7909669789911353]"
26,"[10, 11]","[1.6788652423901707, 3.7430511549177257]"
27,[9],[1.0070218953783643]
28,"[6, 11, 8]","[0.8654899761747734, 1.4516705474097065, 1.3487910988043181]"
29,[6],[1.7135460450966618]
30,"[11, 9, 10, 7]","[0.9572123304234067, 1.2473777804877109, 1.7709939146702465, 1.1316772336728165]"
31,"[7, 9]","[1.3288443955169238, 1.9497010736177411]"
32,"[10, 11, 9]","[0.03478340634187249, 0.10502935026796056, 0.4446173360023027]"
33,"[6, 8, 7]","[0.9365350333138919, 0.8957880270244526, 0.8477623999222804]"
34,[11],[0.08447249255483791]
35,"[7, 9]","[2.2170683397648405, 1.4265599575278438]"
36,[6],[2.041174509523086]
37,"[8, 11, 7]","[1.6319747149808954, 0.1503140260368958, 1.4874836011274115]"
38,"[10, 7, 9]","[0.09079298817445192, 0.8150224279932368, 2.150414999663333]"
39,[8],[0.49977689723093266]
