,valuation coefficient
0,22.37021443438302
1,24.910277264146277
2,14.894282579620736
3,18.519049672580643
4,17.696393981913616
5,17.39676238090144
6,11.454042763775002
7,17.820185041231817
8,27.99628400113097
9,12.278240562052426
10,24.202458950128054
11,11.853005943053152
12,20.6349453152847
13,13.648753480665825
14,10.155020077286283
15,28.565982996766763
16,22.188426334762955
17,20.532961723240696
18,16.245089310813725
19,181.67394189333865
20,10.009029141826224
21,14.221575866784686
22,28.61833717137253
23,21.088858571222154
24,12.22106597913048
25,26.88005823921736
26,19.915863001911198
27,14.067835726584503
28,15.164861181544566
29,8.172905876809283
30,183.02449352388803
31,24.72521507458927
32,13.251630869072011
33,11.388237186907086
34,11.023971469143746
35,20.93318019655733
36,22.213808389163077
37,183.0464105473012
38,8.483105930852071
39,187.21700842866386
