,valuation coefficient
0,18.24457564799623
1,8.128140288632846
2,23.624596956605487
3,23.797335627875484
4,11.107435645325586
5,8.831306467466971
6,8.362751868670323
7,24.529914494801403
8,16.795257823384397
9,17.990933759515173
10,9.781046230451638
11,23.418413323781316
12,183.05990794060173
13,18.684014180318897
14,27.477578238105107
15,26.349738208453275
16,28.996969818050037
17,16.697350276373655
18,14.223530751261418
19,9.30502266086561
20,17.850035367014208
21,14.38362557869659
22,21.251200183901283
23,13.515818833724035
24,11.799055504770523
25,19.077713111785847
26,14.773634820848986
27,29.608330685564557
28,27.21571994336365
29,18.656883650104618
30,190.98356393404308
31,25.621907874226636
32,26.367131203424172
33,189.42605665054612
34,28.19810770428205
35,184.19103836935722
36,27.71799175506266
37,29.105516491972814
38,29.61610083901272
39,24.63049489191504
