task_Number,endpoints_location,bandwidth_demand
0,"[10, 11, 7, 9]","[0.9661919166100309, 0.8943601437945785, 0.7283541398771707, 0.8749768595815894]"
1,"[8, 10, 9]","[0.876698683382864, 0.27769364063801183, 2.9232455043839156]"
2,"[10, 11, 6, 8]","[1.7574272117983645, 2.1555126177252317, 0.09756932655306427, 0.7194997699210484]"
3,"[10, 11, 7]","[1.636967724482809, 1.846435593029099, 2.6194615742029663]"
4,"[11, 9]","[1.5679889818263675, 0.01527711952081201]"
5,"[9, 7, 10, 6]","[1.5293872384438938, 1.8313519157481872, 0.7413545231059824, 1.1672739951013664]"
6,"[6, 7, 9]","[1.9985347393747295, 1.3777596358547377, 1.566492365104744]"
7,[10],[1.5539432139285636]
8,"[7, 10]","[1.1592839128008552, 2.3037043615710613]"
9,[10],[1.334821165864966]
10,"[7, 9]","[0.058263105885789424, 0.6387417503859034]"
11,[10],[1.9464343952546075]
12,"[9, 11, 6, 10]","[0.6608699814270362, 1.4801840563951876, 3.215536178000484, 0.3898929860091427]"
13,[10],[1.8676915788058763]
14,"[6, 8, 9, 10]","[1.3844768214210188, 2.202931306784988, 0.636826144147268, 1.453506813895208]"
15,[7],[1.9067567202693916]
16,[10],[0.8015777656434667]
17,"[9, 10, 11]","[1.2954501031813654, 0.6173265610196736, 1.0594898129145138]"
18,"[9, 7, 10]","[1.2380156664188378, 1.4971193461831913, 0.9363093130686578]"
19,"[8, 7, 6, 11]","[1.8350279269342076, 0.17338135035740765, 2.446181926284493, 0.8723778603472038]"
20,[7],[0.18549672954452123]
21,"[11, 8, 9]","[1.0486888121811908, 1.0487229327170353, 2.3204905894438803]"
22,[7],[0.8569015222696498]
23,"[10, 11, 9]","[1.696430298110011, 0.8887160708773902, 2.193175921705508]"
24,[11],[1.056752781265769]
25,"[8, 11, 9, 10]","[2.3922757116584226, 1.6178489833948575, 2.0758509402553944, 1.294426701134888]"
26,"[10, 9, 7]","[1.4620989154997739, 0.9508310611201507, 1.6128872789451663]"
27,"[9, 7]","[1.4898925706166817, 1.0753510358684177]"
28,[11],[1.5406316829551345]
29,"[7, 10, 11]","[0.6655794218012048, 0.006252623046085648, 1.1892313039248947]"
30,"[10, 8, 6, 7]","[1.3867150824476866, 0.4702968966225326, 0.6890265949845751, 2.5012846420475343]"
31,[6],[1.5937138390514385]
32,"[9, 7]","[0.7089745974615376, 0.667024468342899]"
33,[8],[1.6098418073533465]
34,"[6, 10]","[1.897348979083513, 1.6612379502385588]"
35,"[9, 8]","[0.43111196447242806, 1.9730956719200532]"
36,"[9, 7, 10]","[2.7547428702063774, 0.1323566810963408, 0.2861026253068438]"
37,"[8, 9, 7, 11]","[2.1413767457125727, 1.8121637672308606, 0.41449789257840175, 2.6374368808414403]"
38,"[7, 11, 9, 6]","[0.19412572331520028, 0.6645851151759798, 1.2591581452261276, 2.088886641824099]"
39,[7],[1.1770717357513774]
