data_link, bandwidth_capacity
"(1, 2)",5.670529132513105
"(3, 2)",5.670529132513105
"(8, 2)",5.670529132513105
"(4, 10)",5.670529132513105
"(7, 1)",5.670529132513105
"(3, 0)",5.670529132513105
"(2, 8)",5.670529132513105
"(9, 3)",5.670529132513105
"(6, 0)",5.670529132513105
"(2, 1)",5.670529132513105
"(3, 9)",5.670529132513105
"(0, 5)",5.670529132513105
"(1, 4)",5.670529132513105
"(5, 4)",5.670529132513105
"(3, 4)",5.670529132513105
"(2, 5)",5.670529132513105
"(1, 0)",5.670529132513105
"(10, 4)",5.670529132513105
"(0, 1)",5.670529132513105
"(0, 3)",5.670529132513105
"(11, 5)",5.670529132513105
"(4, 1)",5.670529132513105
"(4, 3)",5.670529132513105
"(5, 11)",5.670529132513105
"(0, 6)",5.670529132513105
"(5, 0)",5.670529132513105
"(1, 7)",5.670529132513105
"(4, 5)",5.670529132513105
"(2, 3)",5.670529132513105
"(5, 2)",5.670529132513105
