,valuation coefficient
0,17.99418153850176
1,9.661076308011948
2,14.88928481051865
3,194.23691820360844
4,13.296686578004751
5,18.645664247044888
6,29.26538840123988
7,23.572739968007518
8,15.55458884614632
9,21.696871200628763
10,28.970774401263828
11,26.16956713780873
12,8.531269537257682
13,21.890885412685222
14,21.638384334110086
15,20.48179629158708
16,14.583761248179702
17,187.24079021311383
18,27.2383398610455
19,19.93551433566321
20,25.609367889052216
21,19.336436441197627
22,14.637732088216529
23,25.868008360210002
24,15.518036311003424
25,24.30451667166103
26,19.44610838482719
27,22.77403951223134
28,24.342420608285632
29,22.823269687436934
30,199.16140358997836
31,17.446822569879224
32,193.04228654064124
33,15.319218811736079
34,15.321496133696268
35,23.192448031153667
36,12.877064547525025
37,29.924709516593854
38,16.333098542304374
39,16.33016532071523
