,arrive_time,finish_time,start_time,usage_time
0,0.5225869110650927,4,1,1
1,0.5640163917149343,8,2,2
2,1.4546685649615498,10,2,2
3,1.798276940637874,7,3,2
4,2.2203939207967585,10,3,3
5,2.280831044493362,8,4,1
6,2.5547392375721136,11,4,2
7,3.1000934868533205,9,4,3
8,3.1359074649670458,11,4,1
9,3.270573040630146,11,5,2
10,3.465412045626973,11,4,3
11,3.517648174965624,10,4,3
12,3.77315097691124,8,5,1
13,3.910874476385616,10,5,1
14,3.963299097227769,11,4,3
15,4.0642024334080755,11,5,2
16,4.081972003331971,10,6,1
17,4.617476762644321,10,6,1
18,4.946016455380215,11,6,3
19,5.071841239129765,10,7,1
20,5.24103502664114,11,7,1
21,5.59957103722125,11,6,2
22,5.713730690389266,11,7,2
23,5.987651786627821,11,6,1
24,6.499158680890622,11,8,2
25,6.683375687766801,11,8,2
26,6.745730658222639,11,8,1
27,6.832057705273451,11,8,1
28,7.1409270743409365,11,8,3
29,7.326876089065166,11,8,3
30,7.605366880088843,11,9,2
31,7.718939948397136,11,8,3
32,8.882000375238881,11,9,1
33,9.091784379924901,11,11,1
34,9.259331725010426,11,11,1
35,9.280009278165524,11,11,1
36,9.313292676059481,11,10,2
37,9.380152229423919,11,11,1
38,9.726646847174504,11,11,1
39,9.965742301546493,11,11,1
