data_link, bandwidth_capacity
"(1, 2)",6.841997969851786
"(3, 2)",6.841997969851786
"(8, 2)",6.841997969851786
"(4, 10)",6.841997969851786
"(7, 1)",6.841997969851786
"(3, 0)",6.841997969851786
"(2, 8)",6.841997969851786
"(9, 3)",6.841997969851786
"(6, 0)",6.841997969851786
"(2, 1)",6.841997969851786
"(3, 9)",6.841997969851786
"(0, 5)",6.841997969851786
"(1, 4)",6.841997969851786
"(5, 4)",6.841997969851786
"(3, 4)",6.841997969851786
"(2, 5)",6.841997969851786
"(1, 0)",6.841997969851786
"(10, 4)",6.841997969851786
"(0, 1)",6.841997969851786
"(0, 3)",6.841997969851786
"(11, 5)",6.841997969851786
"(4, 1)",6.841997969851786
"(4, 3)",6.841997969851786
"(5, 11)",6.841997969851786
"(0, 6)",6.841997969851786
"(5, 0)",6.841997969851786
"(1, 7)",6.841997969851786
"(4, 5)",6.841997969851786
"(2, 3)",6.841997969851786
"(5, 2)",6.841997969851786
